,A,I,P,T,U,dates,E,Total
171,0.05214848154370285,0.11067503683419423,0.28114935121392887,0.07526488381830515,0.12434801155763475,2015Q2,0.356414235032234,6462242.620000001
172,0.05071786186280401,0.12370379847656596,0.27815421897424664,0.08012657010082433,0.10901676151048814,2015Q3,0.35828078907507094,6474505.39
173,0.049905254269881016,0.10929001685087368,0.28201753183406625,0.08026021103240853,0.11624924314629577,2015Q4,0.3622777428664748,6492007.6
174,0.05058372681389768,0.1086780398732792,0.2830708118007658,0.0796097283208504,0.11537715306959063,2016Q1,0.36268054012161627,6471749.13
175,0.05124422766058846,0.10621475522879009,0.2835971400028896,0.08380186098396704,0.10774301513690812,2016Q2,0.3673990009868566,6528202.4
176,0.05156349047139322,0.11485295422365567,0.2820623731024642,0.08565984934734756,0.09813911040532762,2016Q3,0.36772222244981173,6485847.97
177,0.05470903071779873,0.11032165907563445,0.28185918776833885,0.0859856865177603,0.0992795616343687,2016Q4,0.36784487428609913,6438783.969999999
178,0.051808606345253715,0.11138126660919272,0.28049994334055633,0.08576799660652283,0.1042742471513953,2017Q1,0.3662679399470792,6443939.02
179,0.05162716665938613,0.11352030968399224,0.28220539535532385,0.08929273524636817,0.09185626245323766,2017Q2,0.371498130601692,6472277.709999999
180,0.05185855627623264,0.11785215787103588,0.28576646546229173,0.08672828586406559,0.08529978320001685,2017Q3,0.3724947513263573,6467205.3
181,0.051876276811050184,0.10867365148537111,0.28678423565318173,0.09041588308603983,0.08504983422513551,2017Q4,0.3772001187392216,6524785.91
182,0.05003732944676767,0.11075317309781747,0.2908038889760706,0.08599878398174897,0.08560415153977553,2018Q1,0.3768026729578196,6537171.620000001
183,0.048147260080212875,0.11063051203779398,0.2918463672592214,0.09033694563512466,0.07685560209330088,2018Q2,0.3821833128943461,6542667.630000001
184,0.05021559822067545,0.11730642768059815,0.28797913507655265,0.09189191763368358,0.07273586867825389,2018Q3,0.37987105271023625,6457057.0
185,0.050310090233505286,0.11032725391101036,0.29093073071051323,0.09152361931854308,0.07445395579737182,2018Q4,0.3824543500290563,6481163.489999999
186,0.05089068892269368,0.1118043118651695,0.294110806713513,0.08660073088121843,0.07588192402267407,2019Q1,0.3807115375947314,6442743.199999999
187,0.05143344262407883,0.10797021156008905,0.2930641656827769,0.09137603583788638,0.07171594277450563,2019Q2,0.38444020152066327,6464274.08
188,0.04891388506116393,0.11088771640357563,0.2939760481663164,0.08895034181706339,0.0743456185685008,2019Q3,0.38292638998337974,6368498.630000001
189,0.05059188662554322,0.10466826130533011,0.29328586422086483,0.09189718675676128,0.07437375011387451,2019Q4,0.3851830509776261,6358644.27
190,0.052052867359300134,0.1109451474272709,0.29285928304809683,0.0866755603662639,0.07793229838470755,2020Q1,0.3795348434143607,6279546.4799999995
191,0.05045748071879408,0.14528514991428002,0.287500935612458,0.07968016966245953,0.06989515881709088,2020Q2,0.36718110527491754,6140229.27
192,0.05044698144304378,0.12218846191659063,0.2923262453666636,0.08125935898928249,0.08019334792847342,2020Q3,0.37358560435594607,6165883.49
193,0.04827995666824235,0.10826923218668269,0.28883308050758194,0.08946157161162581,0.08686150690665952,2020Q4,0.3782946521192077,6204253.29
194,0.0504814126335313,0.10837925289780784,0.29282865440673045,0.08600308452440877,0.08347585660638239,2021Q1,0.3788317389311392,6262339.8100000005
195,0.054315891337682914,0.10320584560138414,0.29027189771971706,0.09263227459359288,0.07666991843431299,2021Q2,0.38290417231331,6200217.5
196,0.0550025111261184,0.10621471862288162,0.28852359738454075,0.09508139439358428,0.07157278669475,2021Q3,0.383604991778125,6164445.459999999
197,0.054609647100161994,0.10166142311334861,0.2920723148500327,0.09466214698582248,0.07026000611477895,2021Q4,0.3867344618358552,6133925.74
198,0.059546164039657075,0.10693849306431696,0.28959003336639805,0.09105531794741252,0.0722246402684049,2022Q1,0.3806453513138105,6036944.71
199,0.056568270998786224,0.10904645373972634,0.30059419496808115,0.08435122280966023,0.06449443970600473,2022Q2,0.3849454177777414,6017334.699999999
200,0.056448802463423715,0.10807063314315554,0.31394038815005443,0.07098847913087634,0.06562282983155918,2022Q3,0.38492886728093084,5968041.93
201,0.05202533738651781,0.10151492278755778,0.324174916241768,0.065432097610293,0.06724571212180241,2022Q4,0.389607013852061,6027813.48
