,A,I,P,T,U,dates,Total
130,0.20862551976115096,0.035243412416327335,0.5631743221992014,0.15250130003361115,0.040455445589709246,2005Q1,3359182.38
131,0.20246862220850587,0.03423748263777999,0.5631482960065322,0.16786822926315864,0.032277369884023334,2005Q2,3374525.26
132,0.19891151134007606,0.035570221145813465,0.5586771444674589,0.1704466773746736,0.03639444567197798,2005Q3,3412941.39
133,0.2034245297084343,0.03448885543821924,0.5527027700085074,0.17540062540139864,0.03398321944344035,2005Q4,3447756.92
134,0.20784896937363273,0.03433066082139435,0.5470722829653185,0.1757326973966844,0.03501538944296987,2006Q1,3462919.3600000003
135,0.2114489694786504,0.03225192021956043,0.5452040597878401,0.17659798008988548,0.03449707042406359,2006Q2,3457599.4
136,0.21566390425350782,0.03559471159744442,0.545733244121595,0.16995065294051165,0.03305748708694123,2006Q3,3460994.4699999997
137,0.21660107422181774,0.03699149328629379,0.5400204936556747,0.1742545966890924,0.032132342147121296,2006Q4,3455537.71
138,0.21538142071423305,0.03464459192687197,0.5537873825923876,0.16132466226170258,0.034861942504804753,2007Q1,3485613.0
139,0.22088622213719075,0.03199691452899549,0.5572987062791702,0.15824447155513477,0.03157368549950863,2007Q2,3510439.7300000004
140,0.2181390809027297,0.0311183385241763,0.5591850749040228,0.1580729679011086,0.03348453776796251,2007Q3,3538269.24
141,0.21228153742432768,0.031784841480626415,0.56203970832792,0.156256230330845,0.03763768243628085,2007Q4,3563313.98
142,0.20489166919203886,0.031080035851633173,0.5624873542173371,0.15710825548772353,0.0444326852512673,2008Q1,3600360.39
143,0.20417681290487708,0.029114444602062802,0.5619044742528693,0.15138270899571665,0.05342155924447427,2008Q2,3601244.38
144,0.20410209084337255,0.03319790328811607,0.5541606431139613,0.1446206186341605,0.06391874412038964,2008Q3,3632096.55
145,0.19804643021082186,0.03348846152657318,0.5439100924864495,0.13983980272009006,0.0847152130560654,2008Q4,3646100.61
146,0.18099426882551586,0.030691489434524665,0.544300798629622,0.12329761446125563,0.12071582864908187,2009Q1,3652131.0
147,0.18078167233540587,0.030630197543435784,0.5351119586801338,0.12715439378388277,0.1263217776571417,2009Q2,3659417.47
148,0.18258447688715274,0.03652609052330292,0.5316717661880523,0.12592291010209014,0.12329475629940198,2009Q3,3655189.4299999997
149,0.17870400724849453,0.03553105592075183,0.5320283648319526,0.12596257235741867,0.12777399964138236,2009Q4,3676283.37
150,0.1779441690326199,0.033889915566787485,0.5274126012635099,0.1206683752960683,0.14008493884101447,2010Q1,3705289.55
151,0.17882501856430583,0.031642958477935856,0.5323677258436732,0.12555701168607947,0.13160728542800568,2010Q2,3711625.45
152,0.17710559374427337,0.0315318998574988,0.5295057404497917,0.12564554312420761,0.1362112228242285,2010Q3,3731638.77
153,0.17797836114918364,0.03084680555827311,0.5324270314402346,0.12211730578809829,0.13663049606421032,2010Q4,3741104.4000000004
154,0.17447166635240632,0.0317628731650477,0.5246671699107534,0.12640425412154127,0.14269403645025147,2011Q1,3727111.1899999995
155,0.16634590562107254,0.033145320909825984,0.5282523677192965,0.12783318937825192,0.144423216371553,2011Q2,3713751.04
156,0.16584363454341558,0.03170872821943217,0.5233707976017703,0.1301224206916958,0.14895441894368622,2011Q3,3718789.6399999997
157,0.16498470009882518,0.032395885486501956,0.5169118003830235,0.12732883949123114,0.1583787745404182,2011Q4,3743540.52
158,0.16322263016299526,0.03250281228598918,0.5208337906246192,0.11630877220123834,0.16713199472515794,2012Q1,3721643.1900000004
159,0.1634324483798377,0.03235395058192334,0.5152318879106016,0.11502168041187431,0.17396003271576302,2012Q2,3686357.55
160,0.16871012377441433,0.03296785449520612,0.512127821613623,0.10793491791212363,0.17825928220463286,2012Q3,3708179.13
161,0.16856693156613056,0.03219653415661737,0.5073595244268002,0.1067082440859005,0.18516876576455132,2012Q4,3687164.88
162,0.16818333862435422,0.029630342197458717,0.509289585709242,0.10465903329062295,0.18823770017832217,2013Q1,3662809.1999999997
163,0.17117379182620082,0.0322864716874899,0.5052705381656292,0.11011003002558711,0.18115916829509307,2013Q2,3661796.84
164,0.1693373614986017,0.03364083906854557,0.5050495233355616,0.1116932403258324,0.18027903577145882,2013Q3,3647708.6599999997
165,0.1650722327273408,0.028703247606279944,0.5108540870567286,0.12250298132902318,0.17286745128062744,2013Q4,3648850.87
166,0.16606368961420093,0.03350282283472605,0.504639172444455,0.11756998453960955,0.17822433056700837,2014Q1,3615038.0700000003
167,0.1663918286416954,0.029137561793215853,0.5139670050398844,0.125905299769222,0.1645983047559822,2014Q2,3584050.4000000004
168,0.17003043952047223,0.031747013603377845,0.5161312076548477,0.1284115963402111,0.1536797428810911,2014Q3,3587628.79
169,0.17203494662169388,0.02856014262196993,0.5185143652993217,0.12925915094027557,0.1516313945167388,2014Q4,3592304.89
170,0.1694149737997367,0.02867076891828475,0.5219555577611442,0.12641085977912675,0.1535478397417076,2015Q1,3582011.71
171,0.1702029466803154,0.024724918932396377,0.5323689651826549,0.13988269715418963,0.13282047205044373,2015Q2,3575901.3099999996
