,A,I,P,T,U,dates,Total,E
130,0.09439801918910554,0.36969978334880843,0.30919220055710306,0.13912101516558342,0.08758898173939957,2005Q1,6462.0,0.44831321572268645
131,0.09412685982772122,0.37588097102584184,0.30884886452623334,0.1456538762725137,0.0754894283476899,2005Q2,6385.0,0.4545027407987471
132,0.09275873117590516,0.3793655879525793,0.31784684396026913,0.13761614867029798,0.07241268824094842,2005Q3,6242.0,0.4554629926305671
133,0.09407051282051282,0.3532051282051282,0.32596153846153847,0.14871794871794872,0.0780448717948718,2005Q4,6240.0,0.47467948717948716
134,0.09488372093023256,0.3437209302325581,0.3241860465116279,0.15550387596899226,0.08170542635658914,2006Q1,6450.0,0.47968992248062015
135,0.09522370012091898,0.34235187424425634,0.3273881499395405,0.15371825876662637,0.0813180169286578,2006Q2,6616.0,0.4811064087061669
136,0.09350286866180803,0.3538533105907893,0.3242363157078617,0.15165141882462396,0.07675608621491704,2006Q3,6449.0,0.4758877345324857
137,0.09178145797864108,0.33353969973688286,0.33493267296084195,0.16065624516328741,0.0790899241603467,2006Q4,6461.0,0.4955889181241294
138,0.09507998792635074,0.32357380018110476,0.34228795653486266,0.1557500754603079,0.08330817989737398,2007Q1,6626.0,0.49803803199517055
139,0.09112602535421327,0.3352721849366145,0.35137956748695004,0.15659955257270694,0.06562266964951528,2007Q2,6705.0,0.507979120059657
140,0.08797477856177752,0.3482960516438973,0.3496472001201021,0.145473652604714,0.06860831706950908,2007Q3,6661.0,0.4951208527248161
141,0.09322673103032132,0.31392366872831495,0.35435208930457085,0.1641273193543521,0.07437019158244079,2007Q4,6629.0,0.518479408658923
142,0.09303025741381905,0.30182146620502787,0.3644437754026795,0.16348035526117718,0.0772241457172964,2008Q1,6643.0,0.5279241306638567
143,0.08884886687678223,0.3016659162539397,0.37430586822752515,0.15218370103556955,0.0829956476061834,2008Q2,6663.0,0.5264895692630946
144,0.0872093023255814,0.2968176254589963,0.3769889840881273,0.14840881272949816,0.09057527539779682,2008Q3,6536.0,0.5253977968176254
145,0.0843558282208589,0.27515337423312886,0.37975460122699384,0.14831288343558283,0.11242331288343559,2008Q4,6520.0,0.5280674846625767
146,0.08024596464258263,0.25841660261337435,0.3886241352805534,0.13789392774788625,0.13481936971560338,2009Q1,6505.0,0.5265180630284396
147,0.08054202192448234,0.2565468940316687,0.3925091352009744,0.13383069427527405,0.1365712545676005,2009Q2,6568.0,0.5263398294762485
148,0.08313574392412566,0.2708950800237107,0.38959691760521636,0.13352104327208061,0.12285121517486662,2009Q3,6748.0,0.523117960877297
149,0.0813368825791186,0.25820763087843834,0.38745933155871043,0.1329488317065957,0.14004732327713695,2009Q4,6762.0,0.5204081632653061
150,0.07836758834836612,0.24870619547538075,0.39080289812213514,0.127753955345261,0.154369362708857,2010Q1,6763.0,0.5185568534673961
151,0.07765404602821084,0.24825538233110617,0.39806978470675575,0.12383073496659243,0.15219005196733482,2010Q2,6735.0,0.5219005196733482
152,0.07333333333333333,0.25242424242424244,0.39545454545454545,0.12590909090909091,0.1528787878787879,2010Q3,6600.0,0.5213636363636364
153,0.07598968603063856,0.23221598665251023,0.4048232974366753,0.12922796905809192,0.15774306082208403,2010Q4,6593.0,0.5340512664947672
154,0.07407407407407407,0.2251300887664524,0.4081726354453627,0.12503826140189778,0.16758494031221305,2011Q1,6534.0,0.5332108968472605
155,0.07554179566563468,0.21764705882352942,0.4106811145510836,0.13421052631578947,0.16191950464396285,2011Q2,6460.0,0.544891640866873
156,0.07285601888276948,0.22533438237608183,0.4064516129032258,0.13438237608182532,0.16097560975609757,2011Q3,6355.0,0.5408339889850512
157,0.0775765347010739,0.2053213656034621,0.4122455521718224,0.12373777849014266,0.18111876903349897,2011Q4,6239.0,0.535983330661965
158,0.07847428482100985,0.195716742222917,0.41456932937314367,0.11958730654994529,0.1916523370329842,2012Q1,6397.0,0.5341566359230889
159,0.07146275323018025,0.19716063167969372,0.41856755463391293,0.11804115488913702,0.1947679055670761,2012Q2,6269.0,0.53660870952305
160,0.07098965071151359,0.203751617076326,0.4147800776196636,0.12160413971539456,0.1888745148771022,2012Q3,6184.0,0.5363842173350583
161,0.07241153342070773,0.18774574049803408,0.41251638269986896,0.11435124508519004,0.2129750982961992,2012Q4,6104.0,0.526867627785059
162,0.07311827956989247,0.1904052936311001,0.4097601323407775,0.10901571546732837,0.21770057899090156,2013Q1,6045.0,0.5187758478081059
163,0.07002151961595762,0.18970369144181426,0.4193014401589141,0.11041218341334216,0.21056116536997185,2013Q2,6041.0,0.5297136235722563
