,A,I,P,T,U,dates,Total
130,0.09378554045255913,0.3598114432391527,0.3272249640796279,0.13358207913812276,0.08559597309053747,2005Q1,3694038.85
131,0.09641879211033903,0.35418943465117597,0.32989714867283,0.1455263798093801,0.07396824475627498,2005Q2,3718415.8
132,0.09403173668497235,0.3595225697521103,0.33380889614566767,0.14838211874467708,0.06425467867257266,2005Q3,3761522.04
133,0.09332062349674548,0.34135790322620513,0.3380737144746207,0.15511620361658096,0.07213155518584764,2005Q4,3786484.56
134,0.09346696239150117,0.3361689684169875,0.337983722223338,0.15658593430425327,0.07579441266391988,2006Q1,3824199.170000001
135,0.09483730147060884,0.3336451672691066,0.33808070795820977,0.15716087762197278,0.07627594568010186,2006Q2,3817854.7300000004
136,0.09492306471143136,0.34037200336798296,0.33925762212027916,0.152273224887025,0.07317408491328149,2006Q3,3841100.17
137,0.09201932201961456,0.32013635855459305,0.3505214813320702,0.1609664089562767,0.07635642913744564,2006Q4,3865241.9099999997
138,0.09273738417310443,0.30857426952735384,0.36956925525871953,0.15328509005689922,0.07583400098392301,2007Q1,3907195.9299999997
139,0.0935643531658848,0.31549397676033986,0.3742369923685408,0.15162157953511354,0.06508309817012108,2007Q2,3913753.4499999997
140,0.09407625519378056,0.32057460107457586,0.3760376402518506,0.14173549493919727,0.06757600854059564,2007Q3,3968912.87
141,0.09078433350752337,0.3014272096881543,0.38441980555842414,0.1513218407466504,0.07204681049924777,2007Q4,3990450.0700000003
142,0.09167002545991226,0.2908595339650866,0.38527976444889345,0.15122034189715294,0.0809703342289548,2008Q1,4014958.8499999996
143,0.08993003475736594,0.2867430786296797,0.3945079252358257,0.14589682027053297,0.08292214110659563,2008Q2,4056507.0500000003
144,0.09090327318498628,0.2913645222457703,0.39116458828786843,0.14158731989951176,0.08498029638186332,2008Q3,4079852.2099999995
145,0.0921551322588076,0.2612113050750844,0.39352331450567984,0.1409051431046891,0.11220510505573901,2008Q4,4099482.37
146,0.08403216979036111,0.2560344966928051,0.39969462016399043,0.1297118564169345,0.13052685693590882,2009Q1,4098083.2800000003
147,0.08366333788751516,0.2523741932309697,0.4056239220160518,0.12530838677816108,0.1330301600873023,2009Q2,4143927.6599999997
148,0.08547873926949111,0.25995251257844043,0.40225767151029357,0.1253642267965815,0.12694684984519342,2009Q3,4158027.4
149,0.08390098983926671,0.24934107709254336,0.4037489550136424,0.12427396163685893,0.13873501641768854,2009Q4,4184635.97
150,0.08204271311614916,0.24254890605456236,0.4079184835481404,0.1174973520731661,0.14999254520798194,2010Q1,4211653.38
151,0.08193019670598496,0.23922333196410445,0.4090566600299711,0.11684508600061708,0.15294472529932251,2010Q2,4267389.7299999995
152,0.07756090660151635,0.2485671655191341,0.41075810269524693,0.11749592210668505,0.14561790307741745,2010Q3,4297966.78
153,0.07797785675660755,0.23187657531174555,0.41596618378656997,0.12118891612819017,0.15299046801688684,2010Q4,4311960.01
154,0.07704749811981029,0.22240029251369153,0.4127257316915143,0.12099380193253943,0.1668326757424445,2011Q1,4328658.92
155,0.07526843684770154,0.21967447209215343,0.4132481410517016,0.12960061273616313,0.16220833727228035,2011Q2,4314287.55
156,0.07559528639845307,0.2293171340561314,0.403255612322828,0.1256788638421485,0.16615310338043887,2011Q3,4348152.850000001
157,0.07819415747857071,0.21221090067125897,0.4096513698062237,0.117989650983056,0.18195392106089064,2011Q4,4358885.51
158,0.08280418510622858,0.19688667390352646,0.4105724523019062,0.11553792021783366,0.194198768470505,2012Q1,4368367.970000001
159,0.07762937505088485,0.20205943444494498,0.41583712106534076,0.11582924574629017,0.18864482369253924,2012Q2,4349157.13
160,0.07972662014526799,0.20687363325735836,0.40801550283684246,0.1149350552347221,0.1904491885258091,2012Q3,4381288.45
161,0.07979301812962085,0.1900633496837867,0.41242142154782735,0.11248723005584113,0.2052349805829241,2012Q4,4390025.069999999
162,0.07998607267865039,0.18718070665335135,0.4157584969108012,0.1025904041685675,0.21448431958862946,2013Q1,4396767.94
163,0.07896267336346584,0.18411801942181244,0.4180844313106768,0.10682430271389885,0.21201057319014605,2013Q2,4397495.87
164,0.08280386355195628,0.19670462611375952,0.4087183408234069,0.10779542038876154,0.20397774912211578,2013Q3,4412771.51
165,0.08230158623389201,0.1806496972797722,0.41367245528457725,0.10984910286748686,0.21352715833427155,2013Q4,4420588.3100000005
166,0.08010726954561262,0.1777782933187432,0.4224086371280115,0.10869729535373367,0.21100850465389895,2014Q1,4418659.53
167,0.08057257385720963,0.1828373188328194,0.42972385909159017,0.11078813970351416,0.1960781085148667,2014Q2,4367249.34
168,0.0810616362974938,0.19540228516213415,0.42417728627558626,0.10826014240328065,0.19109864986150527,2014Q3,4400054.529999999
169,0.07879004447999306,0.17978493525526745,0.4358815757584767,0.11186192097771412,0.1936815235285487,2014Q4,4418462.92
170,0.08008598575725691,0.17794483018268822,0.44066078835857164,0.10450497804501364,0.19680341765646933,2015Q1,4415577.790000001
171,0.08218013678636917,0.17420142885885356,0.4366171775535523,0.11496963006598826,0.19203162673523655,2015Q2,4401595.010000001
172,0.08068595339069022,0.1960344391890712,0.4329047582410097,0.12246068170157325,0.1679141674776556,2015Q3,4397131.41
173,0.07998098608767512,0.17413363106716337,0.44230726502164247,0.12281266707827806,0.18076545074524114,2015Q4,4393561.859999999
174,0.08030392473871208,0.1737696713133404,0.44380722595893546,0.12158769164824683,0.18053148634076538,2016Q1,4387462.52
175,0.08137320688783789,0.17059829454584233,0.44765484079660767,0.12952336331040212,0.17085029445931008,2016Q2,4390041.1899999995
