,A,I,P,T,U,dates,Total
156,0.08052495663118762,0.184101906978386,0.4465524167320789,0.13875808550707214,0.1500626341512754,2011Q3,1837743.43
157,0.07660728832089767,0.17560845201712127,0.44706386676861787,0.14355314623743864,0.15716724665592466,2011Q4,1861362.0599999998
158,0.08336747676378892,0.1690957481772659,0.42957752972956137,0.14444289511393044,0.1735163502154534,2012Q1,1828316.58
159,0.08048570855806013,0.16965965800591393,0.4463557028719907,0.13495241095273403,0.16854651961130124,2012Q2,1819692.8699999999
160,0.08134855084645168,0.169856259805387,0.4350783971836122,0.13698410487302282,0.17673268729152625,2012Q3,1791457.85
161,0.08056284348740354,0.15929321103206315,0.4565447790604226,0.12406013335845718,0.1795390330616535,2012Q4,1798239.16
162,0.07686263976226235,0.15652568973387265,0.4560667451252408,0.1205099572442579,0.19003496813436627,2013Q1,1773972.25
163,0.07902479884445436,0.14886092010018256,0.45967342560176894,0.12681379742162419,0.1856270580319698,2013Q2,1755402.7600000002
164,0.07778966284071624,0.16520414850736687,0.44984680806245275,0.13043144445557361,0.1767279361338905,2013Q3,1751554.32
165,0.0791554512086975,0.15434017041301987,0.45005796341536203,0.1309409051986733,0.18550550976424732,2013Q4,1710760.13
166,0.07981427160154698,0.15754791780193944,0.4475903379850161,0.13355163272665543,0.18149583988484208,2014Q1,1681864.5
167,0.08781473717959412,0.1550504496470933,0.444700123514767,0.14041344673960504,0.17202124291894066,2014Q2,1697740.3199999998
168,0.07835757317091384,0.16568670249140988,0.44298733901943377,0.134028312487779,0.17894007283046354,2014Q3,1681376.0899999999
169,0.08194828441621628,0.15971505961372812,0.43870403250096396,0.1416131250147603,0.17801949845433138,2014Q4,1649693.8399999999
170,0.0859204707236232,0.16509353453275688,0.43017907084220985,0.13306354197427542,0.18574338192713463,2015Q1,1630487.11
171,0.08814625411800278,0.14927664924080195,0.43568151251997955,0.14639564990055157,0.18049993422066396,2015Q2,1615324.9100000001
172,0.08939105515899375,0.163674655712196,0.43429197842727957,0.15085186884118568,0.161790441860345,2015Q3,1572141.08
173,0.09256964808093486,0.1598515140803532,0.43492069103215963,0.14959041719614577,0.16306772961040644,2015Q4,1564910.6700000002
174,0.09539075626852166,0.15813854122085846,0.44150635410727207,0.1460391266946925,0.1589252217086554,2016Q1,1569480.9
175,0.10474508099232367,0.14673240621231928,0.44349347249433785,0.15354423293716904,0.15148480736385025,2016Q2,1539720.6099999999
176,0.0985985040530162,0.15714760817525203,0.4442498107485588,0.15470953549692923,0.1452945415262439,2016Q3,1559961.6999999997
177,0.08965636994147165,0.1564496217361784,0.4572348263962837,0.1575821275556639,0.13907705437040233,2016Q4,1599329.53
178,0.0847861667088912,0.1503677638369797,0.45640980878005366,0.16197685597608258,0.1464594046979927,2017Q1,1572268.5100000002
179,0.08400355815561275,0.15738600983772844,0.45443111399884006,0.17060268749490132,0.13357663051291735,2017Q2,1553962.3900000001
180,0.08622925571449026,0.1619130180943183,0.45216110723328035,0.16857612658507815,0.13112049237283296,2017Q3,1547571.98
181,0.08284502143206991,0.15325206694710025,0.4487798709214186,0.17220188519498852,0.1429211555044227,2017Q4,1525211.99
182,0.08981385882275174,0.15579700870521362,0.45302251661978143,0.16229434971921594,0.13907226613303741,2018Q1,1497029.3199999998
183,0.0926832158796336,0.14468887761132979,0.46593678966029023,0.1698958327979054,0.1267952840508409,2018Q2,1492186.57
184,0.08712491118887328,0.15186250745672675,0.4778210029556115,0.16894067298214355,0.11425090541664497,2018Q3,1522936.99
185,0.08512206302175632,0.1489542748254133,0.4845151879737425,0.17062918526693568,0.11077928891215232,2018Q4,1529115.43
186,0.08860424026821499,0.14505584825725412,0.47919140399983995,0.16695564595984566,0.12019286151484522,2019Q1,1526193.55
187,0.08594599210109541,0.14453745633493986,0.4795726983973673,0.17655140675586203,0.11339244641073545,2019Q2,1521542.6199999999
188,0.08703668736302264,0.15372189305441958,0.47708597303332007,0.17087142819545872,0.11128401835377902,2019Q3,1522158.46
189,0.0858786061756974,0.15258816791778573,0.48553765423827944,0.16359255473923684,0.11240301692900063,2019Q4,1533353.95
190,0.08854896320089034,0.15513408469988807,0.47410684122233204,0.16346349730420973,0.11874661357267967,2020Q1,1512176.2600000002
191,0.08715718647797903,0.18793238763750042,0.45877550754791857,0.13645967476479842,0.1296752435718034,2020Q2,1505931.7000000002
192,0.08942931744860842,0.152734767647902,0.46431088272863436,0.1508528279265,0.14267220424835514,2020Q3,1465142.57
193,0.08473104170376115,0.1475968702200641,0.47445821187300696,0.1577833992430152,0.13543047696015253,2020Q4,1458943.47
194,0.08166926565027596,0.1574259835961935,0.47295742919864486,0.1593602608308941,0.12858706072399162,2021Q1,1419574.17
195,0.09027291489473674,0.1492580264028445,0.463239268337513,0.17552489957444736,0.12170489079045842,2021Q2,1388822.33
196,0.0869338127649269,0.1433774668490535,0.4852206425471727,0.1741801738686374,0.11028790397020952,2021Q3,1383593.98
197,0.09055816522452595,0.13861044965849112,0.4929474095679191,0.1648664840504683,0.11301749149859568,2021Q4,1411119.7999999998
198,0.0836601989591637,0.14567146525179858,0.4980648054036651,0.15727981330252122,0.11532371708285132,2022Q1,1411584.1400000001
199,0.08462048058855644,0.1440968071383808,0.536693467126868,0.1370202017903006,0.09756904335589413,2022Q2,1465274.59
200,0.0857528794585412,0.13444127091159416,0.5398056253744926,0.13049392434581758,0.10950629990955438,2022Q3,1482238.7400000002
201,0.08129006858925127,0.12842706645985683,0.5686653839065587,0.11910142715484265,0.10251605388949059,2022Q4,1474268.9
