
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="0.684",="0.861",="0.754",="0.783",="0.788",="0.798",="0.536**",="0.583**",="0.778",="1.133",="0.825",="0.877",="0.815",="1.053",="1.102",="0.668",="0.676",="0.867",="0.893",="0.635",="0.938",="1.099",="1.136",="0.905",="1.226",="0.939",="1.148",="0.801",="0.858",="0.847",="1.291",="0.797"
="",="(0.153)",="(0.248)",="(0.167)",="(0.185)",="(0.191)",="(0.173)",="(0.125)",="(0.121)",="(0.175)",="(0.272)",="(0.186)",="(0.201)",="(0.179)",="(0.233)",="(0.252)",="(0.146)",="(0.140)",="(0.208)",="(0.202)",="(0.154)",="(0.194)",="(0.206)",="(0.253)",="(0.223)",="(0.277)",="(0.221)",="(0.321)",="(0.198)",="(0.209)",="(0.197)",="(0.288)",="(0.187)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="0.789",="1.020",="0.999",="0.958",="1.290",="0.973",="1.124",="0.916",="0.735",="0.874",="0.670",="1.053",="1.208",="0.821",="1.094",="0.951",="1.470",="0.811",="0.811",="0.953",="0.863",="0.866",="0.859",="0.720",="0.510**",="1.059",="0.796",="0.660",="0.693",="1.184",="0.591*",="0.803"
="",="(0.174)",="(0.270)",="(0.215)",="(0.222)",="(0.308)",="(0.205)",="(0.273)",="(0.190)",="(0.156)",="(0.194)",="(0.143)",="(0.234)",="(0.264)",="(0.168)",="(0.232)",="(0.213)",="(0.321)",="(0.191)",="(0.180)",="(0.228)",="(0.171)",="(0.156)",="(0.181)",="(0.173)",="(0.109)",="(0.257)",="(0.216)",="(0.160)",="(0.165)",="(0.284)",="(0.125)",="(0.190)"

="N",="5797",="5647",="5421",="5371",="5315",="5218",="5137",="5095",="5113",="4964",="4841",="4812",="4840",="4825",="4757",="4800",="4784",="4728",="4523",="4417",="4218",="3860",="3717",="3634",="3390",="3188",="2976",="2984",="2980",="3052",="2976",="2911"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
