
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="parent_10",="0.705",="0.717",="0.737",="0.569*",="0.528*",="0.832",="0.443**",="0.601*",="0.665",="1.094",="0.968",="0.766",="0.664",="0.761",="0.865",="0.623*",="0.603*",="0.754",="0.904",="0.452***",="0.984",="0.816",="1.131",="0.700",="0.861",="1.085",="1.174",="0.855",="0.823",="0.851",="1.202",="0.689"
="",="(0.200)",="(0.262)",="(0.191)",="(0.159)",="(0.156)",="(0.211)",="(0.117)",="(0.136)",="(0.169)",="(0.321)",="(0.240)",="(0.201)",="(0.164)",="(0.196)",="(0.219)",="(0.148)",="(0.131)",="(0.204)",="(0.199)",="(0.104)",="(0.221)",="(0.136)",="(0.232)",="(0.170)",="(0.190)",="(0.317)",="(0.379)",="(0.253)",="(0.231)",="(0.232)",="(0.296)",="(0.174)"

="30.age",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="35.age",="0.609",="1.140",="0.924",="0.937",="1.094",="0.795",="0.920",="1.338",="0.862",="0.696",="0.562",="0.859",="1.141",="0.596",="1.393",="1.098",="1.828*",="0.651",="0.725",="0.865",="0.856",="0.827",="0.674",="0.755",="0.518*",="1.015",="0.512",="0.661",="0.608",="1.222",="0.665",="0.715"
="",="(0.188)",="(0.480)",="(0.268)",="(0.298)",="(0.373)",="(0.232)",="(0.305)",="(0.364)",="(0.252)",="(0.207)",="(0.167)",="(0.262)",="(0.340)",="(0.172)",="(0.417)",="(0.352)",="(0.529)",="(0.213)",="(0.190)",="(0.257)",="(0.214)",="(0.167)",="(0.165)",="(0.232)",="(0.138)",="(0.363)",="(0.193)",="(0.224)",="(0.195)",="(0.400)",="(0.195)",="(0.231)"

="40.age",="0.515",="0.723",="0.538*",="0.765",="0.725",="0.648",="1.023",="1.139",="0.661",="0.548",="0.711",="0.774",="0.983",="0.463**",="1.005",="1.094",="1.968*",="0.897",="0.862",="0.829",="0.786",="0.766",="0.781",="0.933",="0.539*",="0.747",="0.510",="0.313***",="0.525*",="0.426**",="0.431**",="0.480*"
="",="(0.174)",="(0.278)",="(0.165)",="(0.248)",="(0.265)",="(0.187)",="(0.327)",="(0.306)",="(0.191)",="(0.175)",="(0.180)",="(0.229)",="(0.303)",="(0.137)",="(0.290)",="(0.346)",="(0.563)",="(0.281)",="(0.217)",="(0.227)",="(0.192)",="(0.150)",="(0.179)",="(0.283)",="(0.132)",="(0.256)",="(0.184)",="(0.0960)",="(0.165)",="(0.131)",="(0.116)",="(0.141)"

="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="0.449",="0.147**",="0.283*",="0.370",="0.559",="0.220**",="0.337",="0.394*",="0.379*",="0.339",="0.144***",="0.129**",="0.547",="0.0867***",="0.189**",="0.653",="0.755",="0.322*",="0.363",="0.933",="0.638",="0.829",="0.445",="0.372",="0.454",="0.240",="0.396",="1.100",="0.773",="0.682",="0.134***",="0.361"
="",="(0.339)",="(0.0933)",="(0.168)",="(0.212)",="(0.336)",="(0.117)",="(0.193)",="(0.182)",="(0.167)",="(0.191)",="(0.0625)",="(0.0878)",="(0.369)",="(0.0578)",="(0.100)",="(0.322)",="(0.330)",="(0.182)",="(0.191)",="(0.679)",="(0.426)",="(0.363)",="(0.258)",="(0.228)",="(0.254)",="(0.177)",="(0.276)",="(0.788)",="(0.432)",="(0.389)",="(0.0787)",="(0.273)"

="2.act",="0.155*",="0.255**",="0.307*",="0.181**",="0.309",="0.144***",="0.277",="0.201**",="0.116***",="0.0904***",="0.184***",="0.0457***",="0.356",="0.0683***",="0.222***",="0.332*",="0.268**",="0.315*",="0.174***",="0.772",="0.433",="0.463",="0.316**",="0.199**",="0.116**",="0.220*",="0.0394**",="0.613",="0.612",="1.050",="0.279**",="0.442"
="",="(0.146)",="(0.134)",="(0.164)",="(0.102)",="(0.187)",="(0.0709)",="(0.202)",="(0.111)",="(0.0632)",="(0.0544)",="(0.0779)",="(0.0316)",="(0.209)",="(0.0445)",="(0.0993)",="(0.144)",="(0.118)",="(0.167)",="(0.0910)",="(0.471)",="(0.208)",="(0.191)",="(0.139)",="(0.110)",="(0.0798)",="(0.164)",="(0.0432)",="(0.341)",="(0.350)",="(0.526)",="(0.118)",="(0.286)"

="3.act",="0.308",="0.275*",="0.240**",="0.221*",="0.201",="0.227**",="0.165**",="0.326*",="0.295**",="0.0678***",="0.0387***",="0.0224***",="0.219",="0.144***",="0.122***",="0.371*",="0.240**",="0.376",="0.283*",="1.361",="0.230*",="0.490",="0.439",="0.330*",="0.354",="0.215**",="0.365",="0.742",="0.482",="0.394",="0.373*",="0.474"
="",="(0.196)",="(0.152)",="(0.132)",="(0.136)",="(0.188)",="(0.122)",="(0.0927)",="(0.168)",="(0.129)",="(0.0393)",="(0.0257)",="(0.0232)",="(0.198)",="(0.0724)",="(0.0604)",="(0.178)",="(0.123)",="(0.206)",="(0.142)",="(0.859)",="(0.135)",="(0.202)",="(0.214)",="(0.164)",="(0.194)",="(0.119)",="(0.244)",="(0.367)",="(0.273)",="(0.241)",="(0.180)",="(0.308)"

="4.act",="1.060",="0.335*",="0.409*",="0.762",="0.299*",="0.333**",="0.629",="0.358*",="0.236**",="0.290**",="0.178***",="0.262**",="0.940",="0.595",="0.379*",="0.447",="0.620",="0.846",="0.374*",="2.416",="1.658",="1.150",="0.358*",="0.290**",="0.571",="0.392",="1.168",="0.844",="1.077",="1.039",="0.301**",="1.048"
="",="(0.515)",="(0.166)",="(0.174)",="(0.338)",="(0.176)",="(0.140)",="(0.280)",="(0.154)",="(0.107)",="(0.124)",="(0.0666)",="(0.107)",="(0.465)",="(0.218)",="(0.147)",="(0.186)",="(0.233)",="(0.352)",="(0.144)",="(1.297)",="(0.634)",="(0.396)",="(0.146)",="(0.135)",="(0.280)",="(0.204)",="(0.648)",="(0.398)",="(0.533)",="(0.487)",="(0.116)",="(0.545)"

="5.act",="0.554",="0.422",="0.534",="0.635",="0.578",="0.303**",="0.498",="0.576",="0.780",="0.431*",="0.166***",="0.333**",="1.345",="0.361**",="0.296***",="0.357**",="0.379**",="0.241***",="0.371**",="2.865*",="1.381",="1.412",="0.790",="0.882",="1.736",="0.578",="0.645",="0.672",="0.600",="0.709",="0.246***",="1.161"
