
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="inactive",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.act",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.act",="1.300",="0.833",="0.519",="0.195",="0.158*",="0.403",="0.368",="0.769",="1.505",="0.889",="0.235",="0.397",="0.117*",="0.433",="1",="1.444",="1.172",="0.139*",="0.171*",="0.731",="0.571",="0.0785*",="1",="0.173",="2.294",="0.807",="0.283",="1.150",="0.254",="0.477",="0.291",="0.258",="1.438",="0.322",="0.216",="0.335",="0.456",="1.049",="0.181*",="0.0979",="2.515",="0.262",="0.679",="0.884",="0.122",="0.182",="0.184",="1.168",="0.502",="0.361",="0.179",="0.344",="0.508",="1",="0.0453**",="1",="1",="1",="1.465",="1",="2.108",="0.471",="0.517",="1.138",="1.234",="1.014",="1",="1.705",="0.228",="1.142",="0.754",="0.616"
="",="(0.905)",="(0.703)",="(0.388)",="(0.204)",="(0.132)",="(0.658)",="(0.372)",="(0.683)",="(1.609)",="(0.929)",="(0.196)",="(0.311)",="(0.109)",="(0.343)",="(.)",="(1.506)",="(1.208)",="(0.139)",="(0.144)",="(0.604)",="(0.432)",="(0.0926)",="(.)",="(0.232)",="(2.464)",="(0.777)",="(0.258)",="(1.050)",="(0.232)",="(0.430)",="(0.287)",="(0.211)",="(1.308)",="(0.346)",="(0.195)",="(0.313)",="(0.388)",="(1.046)",="(0.138)",="(0.118)",="(3.096)",="(0.314)",="(0.535)",="(0.833)",="(0.150)",="(0.206)",="(0.195)",="(0.936)",="(0.387)",="(0.341)",="(0.228)",="(0.332)",="(0.536)",="(.)",="(0.0520)",="(.)",="(.)",="(.)",="(1.235)",="(.)",="(1.867)",="(0.456)",="(0.455)",="(1.287)",="(1.220)",="(1.058)",="(.)",="(1.568)",="(0.300)",="(0.944)",="(0.643)",="(1.011)"

="2.act",="0.433",="0.170",="0.308",="0.142",="0.455",="0.157",="0.0496**",="0.343",="0.644",="1.055",="0.0458**",="0.295",="0.0834**",="0.0993*",="0.0135***",="0.374",="1.559",="1.067",="0.297*",="1.362",="0.489",="0.181*",="0.309",="0.168",="1.304",="1.450",="0.336",="2.421",="0.231",="0.413",="0.760",="1.741",="1.381",="0.982",="0.484",="0.188*",="0.702",="0.733",="0.201*",="0.258",="1",="0.462",="0.523",="0.834",="0.162",="1",="0.202",="0.482",="1",="0.0921*",="0.814",="1",="0.216",="0.410",="0.288",="0.668",="0.733",="2.563",="0.874",="0.617",="0.455",="0.470",="0.333",="0.235",="0.167",="1",="0.102",="0.174",="0.616",="1.135",="1.215",="1.007"
="",="(0.352)",="(0.199)",="(0.241)",="(0.149)",="(0.386)",="(0.264)",="(0.0466)",="(0.293)",="(0.635)",="(1.165)",="(0.0539)",="(0.217)",="(0.0798)",="(0.0897)",="(0.0153)",="(0.404)",="(1.428)",="(0.889)",="(0.174)",="(0.873)",="(0.299)",="(0.139)",="(0.245)",="(0.222)",="(1.200)",="(1.223)",="(0.280)",="(1.723)",="(0.177)",="(0.292)",="(0.568)",="(1.224)",="(1.230)",="(0.835)",="(0.328)",="(0.153)",="(0.589)",="(0.672)",="(0.144)",="(0.239)",="(.)",="(0.448)",="(0.454)",="(0.702)",="(0.172)",="(.)",="(0.203)",="(0.474)",="(.)",="(0.109)",="(0.934)",="(.)",="(0.204)",="(0.405)",="(0.224)",="(0.493)",="(0.592)",="(3.133)",="(0.772)",="(0.706)",="(0.378)",="(0.433)",="(0.251)",="(0.300)",="(0.192)",="(.)",="(0.150)",="(0.204)",="(0.633)",="(0.874)",="(0.928)",="(1.412)"

="3.act",="0.555",="1",="0.519",="0.0898*",="0.363",="0.246",="0.0501*",="1",="0.525",="0.108",="0.241",="0.787",="0.123*",="0.286",="0.168*",="0.450",="1",="0.0973",="0.109**",="0.369",="0.190*",="0.143*",="0.605",="1",="1",="0.399",="1",="0.977",="0.289",="0.0807*",="0.117",="1.496",="4.032",="0.163",="0.122",="1",="0.602",="0.774",="0.0625*",="0.233",="0.923",="0.574",="0.956",="0.306",="0.0476*",="0.226",="0.0680*",="0.664",="0.439",="0.102",="0.137",="0.0636*",="0.0692*",="0.326",="0.240",="0.155",="0.606",="1.484",="0.327",="0.585",="0.213",="0.569",="0.143",="0.992",="0.127",="1",="0.114",="0.219",="0.439",="0.308",="0.385",="1.316"
="",="(0.445)",="(.)",="(0.398)",="(0.0954)",="(0.309)",="(0.415)",="(0.0586)",="(.)",="(0.649)",="(0.147)",="(0.198)",="(0.487)",="(0.104)",="(0.216)",="(0.120)",="(0.474)",="(.)",="(0.119)",="(0.0762)",="(0.291)",="(0.145)",="(0.127)",="(0.494)",="(.)",="(.)",="(0.426)",="(.)",="(0.983)",="(0.303)",="(0.0941)",="(0.142)",="(1.199)",="(3.393)",="(0.194)",="(0.136)",="(.)",="(0.501)",="(0.991)",="(0.0707)",="(0.239)",="(1.094)",="(0.577)",="(0.865)",="(0.359)",="(0.0580)",="(0.244)",="(0.0752)",="(0.667)",="(0.357)",="(0.125)",="(0.173)",="(0.0744)",="(0.0823)",="(0.323)",="(0.204)",="(0.152)",="(0.584)",="(1.980)",="(0.390)",="(0.814)",="(0.243)",="(0.535)",="(0.173)",="(1.080)",="(0.160)",="(.)",="(0.176)",="(0.238)",="(0.476)",="(0.421)",="(0.472)",="(2.146)"

="4.act",="0.812",="1.440",="0.623",="0.821",="0.189**",="0.387",="0.708",="0.736",="1.368",="1.250",="0.465",="0.670",="0.212*",="0.244",="0.146***",="1.302",="1.722",="0.532",="0.457",="0.715",="0.329",="0.342",="0.783",="1.696",="1.020",="1.214",="2.579",="3.171",="0.498",="0.678",="1.305",="0.908",="3.095",="1.102",="1.296",="0.673",="0.828",="1.450",="0.392",="0.480",="1.447",="0.447",="1.166",="1.937",="0.198",="0.677",="0.487",="0.870",="0.210",="0.443",="0.684",="0.459",="0.595",="2.072",="1.094",="0.328",="1.717",="3.637",="2.400",="4.136",="2.078",="0.629",="0.244",="0.739",="0.195",="0.0513*",="0.933",="0.767",="1.573",="1.446",="0.311",="1.564"
="",="(0.530)",="(0.953)",="(0.412)",="(0.687)",="(0.108)",="(0.596)",="(0.456)",="(0.435)",="(1.009)",="(1.133)",="(0.289)",="(0.376)",="(0.142)",="(0.188)",="(0.0735)",="(1.012)",="(1.552)",="(0.385)",="(0.266)",="(0.400)",="(0.197)",="(0.271)",="(0.526)",="(1.485)",="(0.912)",="(1.059)",="(1.765)",="(2.053)",="(0.365)",="(0.471)",="(1.051)",="(0.600)",="(2.279)",="(0.783)",="(0.730)",="(0.426)",="(0.658)",="(1.371)",="(0.260)",="(0.402)",="(1.370)",="(0.400)",="(0.794)",="(1.412)",="(0.184)",="(0.609)",="(0.407)",="(0.801)",="(0.170)",="(0.342)",="(0.641)",="(0.338)",="(0.425)",="(1.745)",="(0.899)",="(0.334)",="(1.319)",="(4.389)",="(1.928)",="(3.974)",="(1.275)",="(0.529)",="(0.177)",="(0.670)",="(0.199)",="(0.0628)",="(1.378)",="(0.837)",="(1.682)",="(1.029)",="(0.189)",="(2.002)"

="5.act",="2.167",="1.062",="0.518",="0.136*",="0.314",="0.199",="0.314",="0.483",="1.633",="0.733",="0.149",="0.640",="0.158*",="0.460",="0.0992***",="0.332",="1.240",="0.503",="0.0504***",="0.741",="0.630",="0.220",="0.321",="0.581",="1.095",="0.597",="0.365",="1.276",="0.366",="0.659",="0.616",="1.278",="1.964",="0.992",="0.368",="0.852",="0.699",="0.985",="0.160**",="0.486",="1.494",="1.539",="2.627",="3.587",="0.658",="0.545",="0.499",="1.184",="0.772",="0.767",="0.731",="0.413",="0.542",="0.890",="0.348",="0.406",="1.200",="0.673",="2.664",="3.644",="3.315",="1.284",="0.491",="1.749",="0.991",="0.889",="0.480",="0.206",="0.314",="0.348",="0.281",="1.976"
