
. tab ciclo ocup1 if state=="P"|state=="T"

           |                               ocup1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       176 |       292      1,131      8,771      4,986      5,690     10,847 |    48,702 
       177 |       302      1,155      8,932      5,050      5,596     10,307 |    48,282 
       178 |       302      1,174      9,017      5,133      5,643     10,373 |    48,388 
       179 |       305      1,241      9,155      5,228      5,779     10,675 |    49,538 
       180 |       326      1,233      9,054      5,250      5,956     11,047 |    50,201 
       181 |       337      1,206      9,301      5,345      5,972     10,626 |    50,345 
       182 |       359      1,262      9,354      5,406      6,058     10,548 |    50,458 
       183 |       371      1,271      9,545      5,478      6,254     11,172 |    52,051 
       184 |       381      1,259      9,482      5,491      6,335     11,588 |    52,500 
       185 |       383      1,255      9,939      5,600      6,348     11,205 |    52,934 
       186 |       390      1,307     10,132      5,593      6,296     11,142 |    53,020 
       187 |       393      1,326     10,218      5,652      6,474     11,403 |    53,786 
       188 |       375      1,283      9,971      5,677      6,423     11,690 |    53,760 
       189 |       363      1,275     10,276      5,847      6,404     11,275 |    53,578 
       190 |       371      1,223      9,945      5,717      6,090     10,433 |    51,031 
       191 |       352      1,192      9,307      5,249      5,581      8,998 |    45,854 
       192 |       365      1,244      9,191      5,331      5,793      9,531 |    47,058 
       193 |       372      1,248      9,459      5,413      5,726      9,422 |    47,561 
       194 |       334      1,219      9,163      5,280      5,493      8,764 |    45,397 
       195 |       331      1,173      8,909      5,139      5,364      8,875 |    44,767 
       196 |       303      1,126      8,357      5,029      5,296      9,035 |    43,730 
       197 |       302      1,113      8,580      5,113      5,314      8,791 |    43,873 
       198 |       303      1,117      8,573      5,067      5,258      8,739 |    43,688 
       199 |       312      1,166      8,664      5,054      5,208      9,173 |    44,289 
       200 |       290      1,191      8,510      5,025      5,232      9,217 |    43,845 
       201 |       284      1,148      8,526      5,020      5,173      8,791 |    43,228 
-----------+------------------------------------------------------------------+----------
