
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     1,949        256      5,015      1,346        324 |     8,890 
       131 |     1,865        247      4,913      1,423        281 |     8,729 
       132 |     1,808        271      4,862      1,365        295 |     8,601 
       133 |     1,832        260      4,806      1,416        272 |     8,586 
       134 |     1,912        263      4,932      1,443        298 |     8,848 
       135 |     2,016        256      5,121      1,501        294 |     9,188 
       136 |     1,983        268      5,024      1,433        279 |     8,987 
       137 |     1,990        276      5,005      1,448        257 |     8,976 
       138 |     2,072        264      5,191      1,395        290 |     9,212 
       139 |     2,123        250      5,333      1,420        262 |     9,388 
       140 |     2,069        256      5,319      1,394        284 |     9,322 
       141 |     2,049        260      5,405      1,349        306 |     9,369 
       142 |     2,028        242      5,390      1,364        361 |     9,385 
       143 |     2,012        247      5,336      1,348        426 |     9,369 
       144 |     1,952        257      5,159      1,289        537 |     9,194 
       145 |     1,871        249      5,030      1,223        705 |     9,078 
       146 |     1,717        250      5,049      1,104        954 |     9,074 
       147 |     1,696        241      5,028      1,097      1,035 |     9,097 
       148 |     1,781        296      5,137      1,152      1,026 |     9,392 
       149 |     1,767        287      5,203      1,157      1,047 |     9,461 
       150 |     1,761        274      5,136      1,132      1,125 |     9,428 
       151 |     1,734        242      5,112      1,169      1,089 |     9,346 
       152 |     1,696        264      5,013      1,160      1,100 |     9,233 
       153 |     1,683        240      4,996      1,131      1,123 |     9,173 
       154 |     1,618        250      4,975      1,144      1,189 |     9,176 
       155 |     1,556        256      4,881      1,165      1,202 |     9,060 
       156 |     1,511        265      4,806      1,127      1,215 |     8,924 
       157 |     1,524        253      4,612      1,093      1,271 |     8,753 
       158 |     1,540        256      4,747      1,051      1,375 |     8,969 
       159 |     1,487        250      4,622      1,030      1,431 |     8,820 
       160 |     1,486        251      4,579        986      1,381 |     8,683 
       161 |     1,467        253      4,513        945      1,406 |     8,584 
       162 |     1,480        229      4,442        893      1,436 |     8,480 
       163 |     1,493        227      4,450        945      1,395 |     8,510 
       164 |     1,482        237      4,391        984      1,357 |     8,451 
       165 |     1,429        212      4,423      1,075      1,330 |     8,469 
       166 |     1,416        250      4,332      1,041      1,382 |     8,421 
       167 |     1,418        210      4,307      1,071      1,246 |     8,252 
       168 |     1,412        219      4,232      1,095      1,136 |     8,094 
       169 |     1,439        207      4,244      1,090      1,104 |     8,084 
       170 |     1,376        213      4,240      1,060      1,096 |     7,985 
       171 |     1,351        181      4,240      1,139        920 |     7,831 
       172 |     1,322        201      4,085      1,126        786 |     7,520 
       173 |     1,307        175      4,154      1,109        814 |     7,559 
       174 |     1,265        159      4,163      1,049        821 |     7,457 
       175 |     1,277        189      4,106      1,034        771 |     7,377 
       176 |     1,258        176      4,091      1,068        697 |     7,290 
       177 |     1,247        187      4,048      1,028        662 |     7,172 
       178 |     1,274        208      4,119        995        651 |     7,247 
       179 |     1,235        191      4,068      1,056        568 |     7,118 
       180 |     1,199        205      4,001      1,087        525 |     7,017 
       181 |     1,158        182      4,109      1,049        550 |     7,048 
       182 |     1,181        192      4,159        989        557 |     7,078 
       183 |     1,187        201      4,179      1,033        477 |     7,077 
       184 |     1,128        196      4,111        982        468 |     6,885 
       185 |     1,167        194      4,111      1,058        449 |     6,979 
       186 |     1,192        213      4,181      1,023        452 |     7,061 
       187 |     1,187        175      4,141      1,028        436 |     6,967 
       188 |     1,144        202      4,014        993        415 |     6,768 
       189 |     1,122        176      3,997        944        423 |     6,662 
       190 |     1,073        243      3,833        828        389 |     6,366 
       191 |     1,000        327      3,542        657        415 |     5,941 
       192 |       954        230      3,531        713        366 |     5,794 
       193 |       947        198      3,509        725        324 |     5,703 
       194 |       870        218      3,306        660        342 |     5,396 
       195 |       845        174      3,194        620        293 |     5,126 
       196 |       759        164      3,045        622        295 |     4,885 
       197 |       760        176      3,065        615        285 |     4,901 
       198 |       774        163      3,051        558        291 |     4,837 
       199 |       798        174      3,157        489        261 |     4,879 
       200 |       754        192      3,137        427        235 |     4,745 
       201 |       747        159      3,108        379        241 |     4,634 
-----------+-------------------------------------------------------+----------
     Total |   103,982     16,275    316,866     76,137     51,101 |   564,361 
