
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  18361003   14310202   57766919   32599418   13271259 | 136308801 
       131 |  17901908   12879063   60675056   37096559   12551087 | 141103673 
       132 |  18961048   14447991   61140764   36237963    9473808 | 140261574 
       133 |  19982474   13940308   57471662   34807016   11323192 | 137524652 
       134 |  19692310   13652667   60103455   37138805   10947705 | 141534942 
       135 |  20695230   13990001   59488791   38871112   10675825 | 143720959 
       136 |  19743612   14995851   61583971   40957042    9964156 | 147244632 
       137 |  19069697   15267113   62378741   40634593   10250368 | 147600512 
       138 |  19474792   14624868   63147577   39339024   11137592 | 147723853 
       139 |  18530017   14268608   65008305   41018091   10588546 | 149413567 
       140 |  20256292   15283515   65909148   39223841   10286371 | 150959167 
       141 |  20207257   13508395   65488932   37940890   12044077 | 149189551 
       142 |  21336787   13499543   66007955   36134346   12744415 | 149723046 
       143 |  21821548   15200494   67312223   34756058   13768010 | 152858333 
       144 |  21282022   14888550   67137677   32746492   15605746 | 151660487 
       145 |  19513902   15107036   65346515   29694506   20717485 | 150379444 
       146 |  18742636   16204029   65121403   25339314   26818526 | 152225908 
       147 |  16232920   15556153   64514693   26241553   27145904 | 149691223 
       148 |  15125839   16643882   63362791   26774956   27970825 | 149878293 
       149 |  13319188   15914115   63659442   26267587   29291049 | 148451381 
       150 |  14177183   14758997   61379599   26521577   31852856 | 148690212 
       151 |  14837756   13840917   62399855   27925527   32024034 | 151028089 
       152 |  15321093   14314600   61512900   27999415   30583108 | 149731116 
       153 |  16080410   14679156   59842761   26776853   31266352 | 148645532 
       154 |  15197593   14395584   58024175   26941831   32833330 | 147392513 
       155 |  14699316   14739624   59078021   27494011   33504360 | 149515332 
       156 |  13833612   13655319   58189118   28967694   33721684 | 148367427 
       157 |  14081760   14380816   57567793   25403114   34972988 | 146406471 
       158 |  14100271   14059153   58422375   22873793   37941490 | 147397082 
       159 |  13731057   13503119   58874649   24023664   38855102 | 148987591 
       160 |  15288160   13654840   59640180   23078709   39292423 | 150954312 
       161 |  15408468   12350228   56622582   21699156   42008499 | 148088933 
       162 |  15465233   13112006   55884333   19673679   44180394 | 148315645 
       163 |  15106934   14668524   54169544   21354955   40526517 | 145826474 
       164 |  15280970   12765847   54235773   20836575   39664500 | 142783665 
       165 |  14975528   12608777   51699287   21702718   39125325 | 140111635 
       166 |  15256668   13064430   51538012   19617979   38988922 | 138466011 
       167 |  14655147   12263153   53953774   21603723   37541900 | 140017697 
       168 |  14713875   12509101   53212521   23051345   34511153 | 137997995 
       169 |  15608056   11683069   52376718   22634376   36020194 | 138322413 
       170 |  13447491   12088895   50786749   23250503   37614779 | 137188417 
       171 |  13376024   11380735   50284868   26288638   34208875 | 135539140 
       172 |  14608415   11973994   50686736   27834062   30851494 | 135954701 
       173 |  14069109   12707399   51697768   27497019   27904401 | 133875696 
       174 |  14604254   11931982   51035437   25355319   29372299 | 132299291 
       175 |  14356219   12879251   51076726   25620427   27946829 | 131879452 
       176 |  13790202   12097595   51276100   26741968   27821730 | 131727595 
       177 |  13851663   11885391   50143330   27794977   27339882 | 131015243 
       178 |  13513403   12018479   50280391   26363879   26369173 | 128545325 
       179 |  13989791   13739639   50180142   26967267   22566560 | 127443399 
       180 |  13205844   12925536   49702495   28612910   20969935 | 125416720 
       181 |  13690143   13157493   50915086   27234441   21850930 | 126848093 
       182 |  13850859   13817224   48730295   26677027   22935207 | 126010612 
       183 |  13457839   12846358   50324567   28803375   18580901 | 124013040 
       184 |  13124210   12990881   49148882   28869400   19061840 | 123195213 
       185 |  14011631   12974382   50314756   26842444   20177974 | 124321187 
       186 |  13952556   14687124   51358398   26778032   17630194 | 124406304 
       187 |  13222948   13494771   54637626   25120504   16681673 | 123157522 
       188 |  11974472   14837411   54371069   27253522   16719016 | 125155490 
       189 |  11741413   15076033   54936235   26446322   17576864 | 125776867 
       190 |  11977855   14811060   54293988   24096883   18382290 | 123562076 
       191 |  12700851   20234290   52335653   19221665   20328146 | 124820605 
       192 |  13694322   16346102   52494558   22468669   21229927 | 126233578 
       193 |  13278095   14926969   50026170   24022285   23131701 | 125385220 
       194 |  12730290   15784638   53648692   22593817   21704076 | 126461513 
       195 |  13410046   15227632   51893378   26528471   21890324 | 128949851 
       196 |  12633425   14658072   55768356   27289255   19324481 | 129673589 
       197 |  14150924   15536257   55209002   25247608   18322025 | 128465816 
       198 |  14091351   15410697   57635413   24945097   16821690 | 128904248 
       199 |  13781309   15975515   58542764   21329276   16935906 | 126564770 
       200 |  13315481   13268572   65275089   18902240   15525456 | 126286838 
       201 |  11134046   14009628   69442244   17323509   16517127 | 128426554 
-----------+-------------------------------------------------------+----------
     Total |1106806053 1010889649 4099702953 1984320671 1750284782 |9952004108 
