
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  66540962   10984978  179960665   47813237   12490086 | 317789928 
       131 |  64756615   10368170  182284774   52514126   10025661 | 319949346 
       132 |  64383832   11152889  182987002   54486522   11764625 | 324774870 
       133 |  66954360   10998040  184116021   56948771   10590217 | 329607409 
       134 |  68581265   10878378  183460700   57316507   11403291 | 331640141 
       135 |  70528784   10159712  181929283   57498733   10995575 | 331112087 
       136 |  71649240   11350435  182495361   55196597   10688066 | 331379699 
       137 |  71808629   11674173  180696334   56515788   10207641 | 330902565 
       138 |  71950100   10750468  186490600   52512555   11231842 | 332935565 
       139 |  74232376   10498208  188797095   51719847    9967492 | 335215018 
       140 |  73850186    9948940  191080929   52009431   10967997 | 337857483 
       141 |  72417942   10395314  193168703   51869150   12273307 | 340124416 
       142 |  70952836   10121835  194895760   52544316   15088429 | 343603176 
       143 |  70708682    9550414  195929592   51112268   17666619 | 344967575 
       144 |  71373430   10940590  194893462   49188561   21643750 | 348039793 
       145 |  69256102   11129398  192005610   48292135   28723022 | 349406267 
       146 |  63660401   10376380  191026683   43163421   41456348 | 349683233 
       147 |  63688239   10330303  189233110   43958724   43279379 | 350489755 
       148 |  64686137   12088734  187209523   43628676   42657339 | 350270409 
       149 |  63444484   12180597  189126540   43009660   43921078 | 351682359 
       150 |  63574976   11473838  188266802   42295916   47924658 | 353536190 
       151 |  63879688   10901289  191219891   43375036   45838469 | 355214373 
       152 |  63566213   10988186  190581268   44025499   47893001 | 357054167 
       153 |  63539673   10524905  192804538   43000358   47839559 | 357709033 
       154 |  61817438   10847984  190165912   44249597   50131890 | 357212821 
       155 |  59007277   11467294  190636896   44711930   50858291 | 356681688 
       156 |  59248949   11275614  189505782   45362089   52245843 | 357638277 
       157 |  59870138   11666134  186986068   45080057   55314631 | 358917028 
       158 |  59010251   11043602  187814269   41313352   58232837 | 357414311 
       159 |  58117257   10719073  183658582   40262272   60652702 | 353409886 
       160 |  60114123   11017921  183691523   37893452   62131083 | 354848102 
       161 |  59944717   10487420  180805243   37356788   63185325 | 351779493 
       162 |  59558664    9705160  180981633   36081778   63562498 | 349889733 
       163 |  60610328   10510205  179277830   38047469   61096582 | 349542414 
       164 |  59467750   10995737  177604901   38263127   60702368 | 347033883 
       165 |  57986586    9619802  179524771   42625940   58535621 | 348292720 
       166 |  57836603   11185085  176171912   40809046   60058646 | 346061292 
       167 |  57715552    9717326  177443747   43054353   54986553 | 342917531 
       168 |  59009012   10484041  178087274   43877000   51604486 | 343061813 
       169 |  59940680    9526093  180029155   43933827   50745101 | 344174856 
       170 |  58801949    9682103  181426340   43020047   51290840 | 344221279 
       171 |  59148510    8025697  184588571   47843353   44135186 | 343741317 
       172 |  60272266    9994896  183697677   47782345   39663234 | 341410418 
       173 |  58455686    9162931  185450824   47157832   40050220 | 340277493 
       174 |  57418487    8862024  186753062   44798372   39131065 | 336963010 
       175 |  57930100    9133475  187908347   44496709   35890710 | 335359341 
       176 |  56949037    9001854  188646005   46191123   32870692 | 333658711 
       177 |  56621227    9461385  188096218   45166801   31421778 | 330767409 
       178 |  55816850   10221560  186421386   43241400   31504728 | 327205924 
       179 |  55773172   10152695  185520720   45224903   26983867 | 323655357 
       180 |  55740608   11124866  184629791   46013651   25052943 | 322561859 
       181 |  54476503   10295459  188193711   46016205   25578957 | 324560835 
       182 |  56136361    9491090  189634053   43621129   26136504 | 325019137 
       183 |  55086272    9780801  190294309   44629378   23900070 | 323690830 
       184 |  55307906    9805940  189030954   43794956   22583556 | 320523312 
       185 |  55911505    9338746  185878845   46618200   21433376 | 319180672 
       186 |  55303044    9236135  186780198   44218681   21704445 | 317242503 
       187 |  54360076    8277875  188160951   45543030   21335114 | 317677046 
       188 |  53960729   10400355  185702055   43965214   21257931 | 315286284 
       189 |  54210198    9111226  185988593   42018414   21126691 | 312455122 
       190 |  54023948   13049110  181919897   38432353   21245718 | 308671026 
       191 |  52838572   19035375  177952150   31925902   24244976 | 305996975 
       192 |  51613016   13168130  180704619   35996357   22093699 | 303575821 
       193 |  51725077   11840081  180214803   36211094   20627314 | 300618369 
       194 |  51148680   13173847  179818999   33947715   20991321 | 299080562 
       195 |  51362337   10972138  181438530   33903148   17997834 | 295673987 
       196 |  49226716   10015513  179473386   36254225   19642127 | 294611967 
       197 |  51125183    9638457  179047733   34862809   17067538 | 291741720 
       198 |  52499026   10584415  175657647   31567476   17557037 | 287865601 
       199 |  50909538   10370254  178570052   28487914   15421180 | 283758938 
       200 |  47789918   12581801  182365026   23971143   14820976 | 281528864 
       201 |  47459279   10470805  184702190   21602187   16582876 | 280817337 
-----------+-------------------------------------------------------+----------
     Total |4318642253  765495704  1.333e+10 3145441977 2321926411 | 2.388e+10 
