
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     3,406      6,430      7,602      4,530      1,846 |    23,814 
       131 |     3,226      6,218      7,541      4,661      1,717 |    23,363 
       132 |     3,129      5,954      7,447      4,744      1,475 |    22,749 
       133 |     3,175      5,979      7,526      4,594      1,605 |    22,879 
       134 |     3,261      6,302      7,823      4,582      1,620 |    23,588 
       135 |     3,427      6,459      8,097      4,905      1,536 |    24,424 
       136 |     3,223      6,257      8,065      4,987      1,469 |    24,001 
       137 |     3,257      6,437      8,189      4,871      1,404 |    24,158 
       138 |     3,327      6,717      8,529      4,740      1,503 |    24,816 
       139 |     3,403      6,707      8,667      4,893      1,407 |    25,077 
       140 |     3,458      6,549      8,691      4,988      1,473 |    25,159 
       141 |     3,510      6,693      8,770      4,618      1,575 |    25,166 
       142 |     3,561      6,693      8,839      4,365      1,793 |    25,251 
       143 |     3,516      6,621      8,976      4,224      1,957 |    25,294 
       144 |     3,474      6,398      8,762      4,210      2,169 |    25,013 
       145 |     3,470      6,710      8,516      3,715      2,734 |    25,145 
       146 |     3,132      6,749      8,474      3,159      3,414 |    24,928 
       147 |     3,005      6,785      8,376      3,083      3,593 |    24,842 
       148 |     3,205      7,287      8,719      3,432      3,788 |    26,431 
       149 |     3,101      7,458      8,479      3,254      3,943 |    26,235 
       150 |     3,088      7,433      8,333      3,025      4,292 |    26,171 
       151 |     2,975      7,166      8,214      3,099      4,224 |    25,678 
       152 |     2,976      7,008      8,074      3,313      4,155 |    25,526 
       153 |     2,901      7,249      7,843      3,128      4,308 |    25,429 
       154 |     2,880      7,287      7,758      2,939      4,497 |    25,361 
       155 |     2,910      7,216      7,807      3,025      4,505 |    25,463 
       156 |     2,834      6,940      7,596      3,197      4,479 |    25,046 
       157 |     2,825      6,999      7,314      2,891      4,721 |    24,750 
       158 |     2,895      7,297      7,374      2,618      5,242 |    25,426 
       159 |     2,937      7,219      7,455      2,635      5,478 |    25,724 
       160 |     3,004      7,099      7,291      2,820      5,498 |    25,712 
       161 |     2,929      7,437      7,177      2,537      5,794 |    25,874 
       162 |     2,958      7,492      6,980      2,305      6,098 |    25,833 
       163 |     2,963      7,457      6,987      2,526      6,009 |    25,942 
       164 |     2,943      7,106      6,851      2,853      5,867 |    25,620 
       165 |     2,883      7,361      6,789      2,605      5,857 |    25,495 
       166 |     2,858      7,591      6,780      2,531      5,915 |    25,675 
       167 |     2,878      7,389      6,959      2,766      5,636 |    25,628 
       168 |     2,915      7,123      6,930      3,104      5,353 |    25,425 
       169 |     2,944      7,278      6,914      2,869      5,430 |    25,435 
       170 |     2,913      7,346      7,028      2,810      5,286 |    25,383 
       171 |     2,923      7,370      7,089      3,040      4,967 |    25,389 
       172 |     2,897      7,037      7,099      3,315      4,669 |    25,017 
       173 |     2,876      7,220      6,990      3,141      4,588 |    24,815 
       174 |     2,871      7,163      6,908      3,032      4,505 |    24,479 
       175 |     2,874      7,026      6,995      3,205      4,368 |    24,468 
       176 |     2,865      6,850      6,930      3,518      4,181 |    24,344 
       177 |     2,831      6,929      6,968      3,324      4,037 |    24,089 
       178 |     2,804      6,982      7,083      3,152      3,973 |    23,994 
       179 |     2,842      6,990      7,378      3,329      3,681 |    24,220 
       180 |     2,884      6,820      7,437      3,653      3,449 |    24,243 
       181 |     2,799      7,063      7,549      3,483      3,431 |    24,325 
       182 |     2,831      7,208      7,590      3,395      3,498 |    24,522 
       183 |     2,870      7,055      7,832      3,591      3,288 |    24,636 
       184 |     2,876      6,895      7,785      3,849      3,107 |    24,512 
       185 |     2,907      7,063      7,938      3,694      3,141 |    24,743 
       186 |     2,867      7,294      8,043      3,489      3,093 |    24,786 
       187 |     2,874      7,079      8,065      3,610      2,988 |    24,616 
       188 |     2,865      6,886      8,162      3,802      2,868 |    24,583 
       189 |     2,889      7,049      8,257      3,587      2,945 |    24,727 
       190 |     2,819      7,129      8,055      3,251      2,832 |    24,086 
       191 |     2,621      7,248      7,516      2,596      2,791 |    22,772 
       192 |     2,586      6,532      7,620      2,984      3,073 |    22,795 
       193 |     2,713      6,595      7,820      3,029      3,016 |    23,173 
       194 |     2,631      6,612      7,570      2,730      2,964 |    22,507 
       195 |     2,592      6,142      7,441      2,876      2,750 |    21,801 
       196 |     2,520      5,487      7,321      2,992      2,505 |    20,825 
       197 |     2,569      5,791      7,237      2,892      2,319 |    20,808 
       198 |     2,427      5,702      7,494      2,697      2,326 |    20,646 
       199 |     2,460      5,460      7,710      2,501      2,141 |    20,272 
       200 |     2,409      5,137      7,976      2,411      2,036 |    19,969 
       201 |     2,355      5,343      8,111      1,953      2,106 |    19,868 
-----------+-------------------------------------------------------+----------
     Total |   212,822    491,053    554,511    244,272    252,301 | 1,754,959 
