
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     1,066      4,042      3,439      1,427        921 |    10,895 
       131 |     1,058      3,945      3,420      1,519        795 |    10,737 
       132 |     1,023      3,910      3,423      1,423        713 |    10,492 
       133 |     1,025      3,673      3,510      1,533        773 |    10,514 
       134 |     1,050      3,782      3,596      1,589        840 |    10,857 
       135 |     1,093      3,849      3,782      1,661        833 |    11,218 
       136 |     1,087      3,813      3,708      1,624        771 |    11,003 
       137 |     1,062      3,637      3,788      1,666        826 |    10,979 
       138 |     1,111      3,601      3,990      1,674        856 |    11,232 
       139 |     1,118      3,715      4,087      1,675        741 |    11,336 
       140 |     1,083      3,865      4,039      1,599        721 |    11,307 
       141 |     1,109      3,556      4,088      1,707        854 |    11,314 
       142 |     1,114      3,468      4,166      1,722        899 |    11,369 
       143 |     1,096      3,502      4,266      1,660        946 |    11,470 
       144 |     1,077      3,428      4,192      1,578        993 |    11,268 
       145 |     1,036      3,121      4,235      1,595      1,207 |    11,194 
       146 |       963      2,963      4,344      1,471      1,391 |    11,132 
       147 |       983      2,961      4,441      1,403      1,462 |    11,250 
       148 |     1,044      3,152      4,525      1,483      1,392 |    11,596 
       149 |     1,023      2,999      4,600      1,494      1,539 |    11,655 
       150 |       992      2,919      4,609      1,395      1,624 |    11,539 
       151 |       989      2,866      4,610      1,345      1,626 |    11,436 
       152 |       946      2,940      4,479      1,341      1,577 |    11,283 
       153 |       942      2,689      4,526      1,354      1,673 |    11,184 
       154 |       956      2,599      4,557      1,363      1,771 |    11,246 
       155 |       934      2,548      4,519      1,418      1,693 |    11,112 
       156 |       921      2,581      4,395      1,387      1,721 |    11,005 
       157 |       938      2,307      4,395      1,293      1,895 |    10,828 
       158 |       964      2,255      4,531      1,263      2,056 |    11,069 
       159 |       878      2,255      4,505      1,216      2,030 |    10,884 
       160 |       880      2,237      4,362      1,242      1,959 |    10,680 
       161 |       896      2,054      4,376      1,171      2,131 |    10,628 
       162 |       861      2,074      4,333      1,077      2,195 |    10,540 
       163 |       849      2,086      4,354      1,142      2,130 |    10,561 
       164 |       884      2,120      4,248      1,162      2,012 |    10,426 
       165 |       866      1,960      4,303      1,162      2,137 |    10,428 
       166 |       852      1,931      4,326      1,153      2,078 |    10,340 
       167 |       850      1,963      4,274      1,153      1,940 |    10,180 
       168 |       849      1,987      4,171      1,170      1,822 |     9,999 
       169 |       813      1,863      4,211      1,220      1,938 |    10,045 
       170 |       812      1,859      4,223      1,102      1,945 |     9,941 
       171 |       806      1,807      4,130      1,166      1,807 |     9,716 
       172 |       762      1,904      3,953      1,197      1,566 |     9,382 
       173 |       748      1,704      4,057      1,221      1,658 |     9,388 
       174 |       751      1,694      3,996      1,179      1,582 |     9,202 
       175 |       760      1,639      4,017      1,205      1,495 |     9,116 
       176 |       743      1,652      3,996      1,213      1,362 |     8,966 
       177 |       751      1,608      3,951      1,181      1,334 |     8,825 
       178 |       751      1,624      4,001      1,211      1,389 |     8,976 
       179 |       766      1,607      3,973      1,272      1,227 |     8,845 
       180 |       770      1,675      3,937      1,188      1,143 |     8,713 
       181 |       749      1,571      4,002      1,267      1,162 |     8,751 
       182 |       749      1,584      4,032      1,245      1,191 |     8,801 
       183 |       727      1,568      4,086      1,333      1,063 |     8,777 
       184 |       722      1,613      3,976      1,321        961 |     8,593 
       185 |       748      1,516      4,080      1,336      1,006 |     8,686 
       186 |       754      1,556      4,181      1,314      1,031 |     8,836 
       187 |       772      1,513      4,132      1,353        976 |     8,746 
       188 |       701      1,507      4,043      1,256        955 |     8,462 
       189 |       718      1,392      4,029      1,304        947 |     8,390 
       190 |       700      1,419      3,822      1,203        906 |     8,050 
       191 |       609      1,646      3,542      1,010        747 |     7,554 
       192 |       596      1,405      3,477        988        816 |     7,282 
       193 |       587      1,237      3,454      1,073        880 |     7,231 
       194 |       595      1,232      3,265      1,018        819 |     6,929 
       195 |       582      1,138      3,142      1,028        751 |     6,641 
       196 |       572      1,053      2,940      1,030        675 |     6,270 
       197 |       586      1,030      3,006      1,041        654 |     6,317 
       198 |       601      1,057      2,950        978        664 |     6,250 
       199 |       585      1,096      3,053        907        603 |     6,244 
       200 |       573      1,068      3,069        756        607 |     6,073 
       201 |       540        982      3,149        704        586 |     5,961 
-----------+-------------------------------------------------------+----------
     Total |    61,467    164,172    287,387     93,130     91,989 |   698,145 
