     ciclo |        14         15 |     Total
-----------+----------------------+----------
       130 |    254318     485254 |  22697314 
       131 |     33195     571914 |  12560835 
       132 |     55155     199706 |  51710812 
       133 |    308943     454945 |  21177886 
       134 |     69090     392502 |  15457531 
       135 |    126200     455545 |  14398487 
       136 |     19441     316761 |  45910384 
       137 |     22562     262206 |  18071345 
       138 |     30169     291944 |  14332703 
       139 |    298796     328891 |  15244255 
       140 |    253250     400896 |  53515509 
       141 |    186160      64714 |  25157360 
       142 |     46445     392486 |  20616151 
       143 |     57678     262669 |  14240465 
       144 |    108740     549089 |  49761476 
       145 |    142860     362044 |  20299993 
       146 |     81454     467833 |  19762665 
       147 |    169120     169768 |  15118861 
       148 |     14095     209461 |  47194029 
       149 |         0     164614 |  17750754 
       150 |    121156     318252 |  16861142 
       151 |    132506     415876 |  13188872 
       152 |     44058     122716 |  45450532 
       153 |     59776     172724 |  19606097 
       154 |     29467     366445 |  12072821 
       155 |    160393     454917 |  13111592 
       156 |     16941     257477 |  40695321 
       157 |     76996     126364 |  16696257 
       158 |     25214     407284 |  15066597 
       159 |     36954      90079 |  12273200 
       160 |    126682     174796 |  36062299 
       161 |     99961     457911 |  15689297 
       162 |    112144     177891 |  12806783 
       163 |         0     260851 |   8997282 
       164 |    182732     355191 |  39122246 
       165 |     95288     311131 |  15848388 
       166 |         0     195488 |  11408718 
       167 |     66134     325060 |   9363884 
       168 |     18199     443176 |  36144405 
       169 |    222050     295451 |  13531527 
       170 |     33867     104874 |  12818928 
       171 |         0     283112 |  10569408 
       172 |     38221     378438 |  32169045 
       173 |    214444     150645 |  13136683 
       174 |     57181     173444 |  12129989 
       175 |    210054     278791 |  10181984 
       176 |     93555     123320 |  33013482 
       177 |    124445     146269 |  14913407 
       178 |         0     165234 |  11376258 
       179 |     66483      44478 |  12987173 
       180 |     65034      87365 |  33994665 
       181 |     62815      93350 |  15810217 
       182 |    256165     152982 |  14034627 
       183 |    258233     102914 |  10749130 
       184 |     76253     385567 |  32926435 
       185 |     83472     634783 |  16117148 
       186 |     61099     353288 |  12403372 
       187 |     63761      78609 |  12413597 
       188 |     61487     141035 |  32193152 
       189 |         0     142067 |  15587237 
       190 |     72035     650211 |  23505990 
       191 |    102242     854736 |  56746933 
       192 |    107823     589409 |  39734549 
       193 |    145326     734453 |  23616168 
       194 |    154378     325211 |  24012854 
       195 |    174912     323445 |  20418525 
       196 |    177979     416147 |  41063659 
       197 |    150256     325674 |  22343804 
       198 |    169000     145266 |  19722236 
       199 |    346187     197478 |  16961053 
       200 |         0     519402 |  40025929 
       201 |    168294      87635 |  21461705 
-----------+----------------------+----------
     Total |   7499323   21721954 |1628115417 
