
. tab ciclo rznotb if age3040&woman&mother_10 [fweight=facexp]

           |                                    rznotb
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       161 |         0    3589792    6187572    1563213    3179984      61722          0 |  15993883 
       162 |         0    3574913    5014060    1973985    4121553     271633          0 |  16180300 
       163 |         0    1936625    5716970    2187766    3417012     219326      20251 |  14717817 
       164 |         0   19221911    4463241    2198274    2961487     132402          0 |  30965222 
       165 |         0    3772374    4597904    1514749    3461262     213504          0 |  14430240 
       166 |         0    2920959    5970807    1516848    3268361     126851          0 |  14793544 
       167 |         0    2800060    4300168    1903331    3939116          0          0 |  14143395 
       168 |         0   17281732    5291527    2200731    3131235     147083          0 |  29430366 
       169 |         0    3179927    5463833    2175523    3201131      41910          0 |  14919205 
       170 |         0    3449719    5084542    2026227    3545329     328408          0 |  15761532 
       171 |         0    2507148    5361728    2849614    4111388     171718          0 |  15805124 
       172 |         0   15564583    4469463    2426656    3466230      52985          0 |  27745582 
       173 |     36487    2673078    4906391    1894270    3685253      62823          0 |  14173084 
       174 |         0    2990672    4521802    1780854    3555944          0          0 |  13931776 
       175 |         0    1374747    4598607    2003374    4067754          0          0 |  12763430 
       176 |         0   16845782    4819803    1978990    4515609      64695          0 |  30143920 
       177 |         0    4477561    4698131    1695971    3451229      46539          0 |  15378864 
       178 |         0    2835454    5338581    1893331    4016194          0          0 |  15205599 
       179 |         0    2961333    5362667    2445743    3679626          0          0 |  15168029 
       180 |         0   16904568    5268866    2143403    4081470      44645          0 |  29809010 
       181 |         0    4842065    5050662    1745983    3745897      22224          0 |  16482958 
       182 |         0    3646770    3937501    1720897    3913655     204232          0 |  15114574 
       183 |         0    2293000    4483772    1689227    3535028      21693          0 |  12887387 
       184 |         0   16144344    4104186    2331450    3593606      36370          0 |  27686233 
       185 |         0    3744736    3730298    1205772    3687598      71858          0 |  13240311 
       186 |         0    3183391    4285530    1402300    3923768     120462          0 |  14166719 
       187 |         0    3225153    4324013    2035834    3779500      27427          0 |  14075739 
       188 |         0   14772893    4326367    2019950    3193364      25865          0 |  25324943 
       189 |         0    4041466    4405143    1779443    4194192          0          0 |  15453929 
       190 |         0    3432379    4648075    1688519    4153834      20897          0 |  18931159 
       191 |         0    1965647    4421049    1592842    5501604      67195          0 |  39801455 
       192 |         0   12194907    4018108    1445748    4233925          0          0 |  29755253 
       193 |         0    2202632    3824848    1646050    4825402      12606          0 |  18955756 
       194 |         0    3493081    4803721     767419    5105220     112219          0 |  20774862 
       195 |         0    2021994    5494547    1227895    4782484      36374          0 |  17370166 
       196 |         0   15127355    5390253    1464375    3503290      93130          0 |  28322315 
       197 |         0    3876747    4457193    1296773    5259329      41836          0 |  16808230 
       198 |         0    2933028    3876716    1129296    5854123      11212          0 |  15764075 
       199 |         0    3114790    3482908    1279472    4562269      46712          0 |  13770544 
       200 |         0   14237562    3606726    1610042    4035783      68791          0 |  25625976 
       201 |         0    3680518    4989299    1642230    4604330     178691          0 |  16456383 
-----------+-----------------------------------------------------------------------------+----------
     Total |    100598  485840816  337731485  151210760  287717426    6564624     191779 |1405898812 


           |                                    rznotb
     ciclo |         7          8          9         10         11         12         13 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |         0     138322      19762     106593          0          0          0 |  15403276 
       131 |     57172     132383          0          0          0          0          0 |  11912905 
       132 |     99793     316514          0      68828       3708       7422          0 |  32174240 
       133 |     96298     339234      19292          0          0      55349      41780 |  15775270 
       134 |    116210     411495      16070      44042          0          0          0 |  15349892 
       135 |     30246     211761          0      64457          0          0      16561 |  14666934 
       136 |    164927     491999          0          0          0          0          0 |  28293412 
       137 |    148648     343896          0      48675          0          0      16138 |  15099391 
       138 |         0     394514      12974      16954          0          0      23351 |  15129999 
       139 |     82512     224932      13627      44914          0          0      24415 |  16241659 
       140 |     79140     493886          0      30846          0          0          0 |  32557289 
       141 |     81707     113157      11086      10080      21307          0          0 |  17838463 
       142 |     63332     345028          0      50990          0      15569          0 |  18183801 
       143 |     24767     320365          0      73643          0      13454          0 |  15892685 
       144 |     85157     568393          0      63094          0          0          0 |  35582984 
       145 |     51144     454981          0      78633          0      20824          0 |  17593070 
       146 |    102545     615169      59836     171363       9753      19540      88167 |  16030514 
       147 |    118090     142200          0     133636     143837      12499      23069 |  16244298 
       148 |    114112     891839      30770     115768      83274          0          0 |  31136870 
       149 |     60893     530299      53518     108087      77941          0      16005 |  17130520 
       150 |    121491     442640     213730     152578      82307          0          0 |  16456609 
       151 |     31900     337490      18754     130071      52852      20553          0 |  14298908 
       152 |      7322     858409          0     300086     106532          0          0 |  33230056 
       153 |         0     430834      19145     241121      70891          0          0 |  17099311 
       154 |     36908     563999      18585      76817      56076          0          0 |  14189280 
       155 |     65454     541963      31255      66752     192781          0          0 |  14275715 
       156 |     74879    1088994          0     164669     133735          0          0 |  30244701 
       157 |     62718     620437      63047     285722      91623          0          0 |  17834177 
       158 |      2565     599583          0     147158      11733          0          0 |  17680441 
       159 |    170397     255765          0     352165      50113          0          0 |  14252478 
       160 |     55228     797142          0     149727     139122      39870          0 |  29870775 
       161 |     79389     495700      23819     390108     221859          0          0 |  15993883 
       162 |     38388     507267      21137     221905      76203          0          0 |  16180300 
       163 |     26108     446194          0     173122      54651          0      10418 |  14717817 
       164 |         0    1095910          0     226598     198237          0          0 |  30965222 
       165 |    103506     481368          0      57371      84106          0          0 |  14430240 
       166 |    112616     378779          0     149775      34470          0          0 |  14793544 
       167 |     35706     654630          0     185668       7674          0          0 |  14143395 
       168 |     28326     879862          0     123990      96487          0          0 |  29430366 
       169 |         0     292830      16962     157750     113017          0          0 |  14919205 
       170 |         0     545868          0     132979     175967          0          0 |  15761532 
       171 |      7239     342109          0     104771          0          0      13519 |  15805124 
       172 |     44589     842580          0     179154      33250          0          0 |  27745582 
       173 |         0     352796          0     162543          0          0      66720 |  14173084 
       174 |     63650     445204          0      79031          0      28352          0 |  13931776 
       175 |     64377     343042      17462      24748          0          0          0 |  12763430 
       176 |    233268    1248715          0      15657      21797          0          0 |  30143920 
       177 |    124262     323384      20039     187677          0          0          0 |  15378864 
       178 |    143450     487456      29637     125836          0          0          0 |  15205599 
       179 |     31157     266222          0          0          0          0          0 |  15168029 
       180 |    137334     689377          0     102198          0          0          0 |  29809010 
       181 |    113646     430034          0      68936      72090          0          0 |  16482958 
       182 |     81996     800482      99371      65090      66808          0      28724 |  15114574 
       183 |     65466     372557          0      77342          0          0          0 |  12887387 
       184 |     12727     815457          0      93867          0          0          0 |  27686233 
       185 |         0     349747      46530     119789          0          0          0 |  13240311 
       186 |     61786     726762          0     151503          0      42011          0 |  14166719 
       187 |    110608     239022          0      29534          0          0          0 |  14075739 
       188 |     25618     394569          0      41212          0      15577          0 |  25324943 
       189 |     60622     701832          0      37853          0          0          0 |  15453929 
       190 |     88383     644579          0    2225346    1475078          0      34951 |  18931159 
       191 |     89294     254972          0    9047694   16019975          0          0 |  39801455 
       192 |     41685     338165          0    1402410    5251905          0          0 |  29755253 
       193 |     41515     233453          0    1156402    4270388          0      33490 |  18955756 
       194 |         0     305224     124709     944795    4407928          0          0 |  20774862 
       195 |     21345     260814          0     415228    2716274          0          0 |  17370166 
       196 |     74917     583583          0     250301    1307434          0          0 |  28322315 
       197 |         0      98938          0     159109    1091688          0      34811 |  16808230 
       198 |    185232     338654          0      83842     841144          0          0 |  15764075 
       199 |     13360     273796          0      86900     526295          0          0 |  13770544 
       200 |    160527     861411          0          0     199351          0      40540 |  25625976 
       201 |     30457     881412          0      34543          0          0      28641 |  16456383 
-----------+-----------------------------------------------------------------------------+----------
     Total |   4758104   35042379    1001117   22590046   40691661     291020     541300 |1405898812 


           |        rznotb
     ciclo |        14         15 |     Total
-----------+----------------------+----------
       130 |    194245     456305 |  15403276 
       131 |    254063     226915 |  11912905 
       132 |    242939     268944 |  32174240 
       133 |    118828      80681 |  15775270 
       134 |    252562     230092 |  15349892 
       135 |    149318     118690 |  14666934 
       136 |    192252     185761 |  28293412 
       137 |    149377     230290 |  15099391 
       138 |    405093     391650 |  15129999 
       139 |    306836     362083 |  16241659 
       140 |    294110     517718 |  32557289 
       141 |    473583     171403 |  17838463 
       142 |    245718     191001 |  18183801 
       143 |    233279     140363 |  15892685 
       144 |    277048     270751 |  35582984 
       145 |    196063     353877 |  17593070 
       146 |    304382     175882 |  16030514 
       147 |    144272     167519 |  16244298 
       148 |    341855     343729 |  31136870 
       149 |     50310     369882 |  17130520 
       150 |    146272     153760 |  16456609 
       151 |    267140     104422 |  14298908 
       152 |    180318     265068 |  33230056 
       153 |     76552     212000 |  17099311 
       154 |     61926     224292 |  14189280 
       155 |    283211     270040 |  14275715 
       156 |    168011     218658 |  30244701 
