
. tab ciclo rznotb if age3040&woman [fweight=facexp]

           |                                    rznotb
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       145 |    109276     700497          0      78633      13803      67058      35611 |  27698232 
       146 |    229851     755652      59836     305322     107964      69221      88167 |  25226314 
       147 |    118090     185020          0     152903     197442      12499      97736 |  23656961 
       148 |    251281    1050918      30770     196130     177654          0          0 |  53720433 
       149 |    103818     744661      90194     190747     112371          0     139269 |  26142859 
       150 |    197605     564696     308577     152578      94901          0      76089 |  23631795 
       151 |     42199     473174      66283     185452     131112      20553      16207 |  21394316 
       152 |      7322    1214642      71976     432201     210885          0          0 |  55842602 
       153 |         0     672544      19145     450657     108107          0      64146 |  27083234 
       154 |    132399     774274      59430     102299      79224          0          0 |  21516687 
       155 |    108035     819523      31255     148133     255334      83957          0 |  22938292 
       156 |    567792    1673697          0     218553     133735      61421      31167 |  50949301 
       157 |     94044     918049      99541     388969      91623          0          0 |  26600638 
       158 |     97567     724881      45606     206038      23647          0          0 |  23569109 
       159 |    185845     344726          0     393362     126858          0          0 |  20014530 
       160 |    217683    1428656          0     204623     180555      39870          0 |  48720847 
       161 |    100304     723808      23819     650544     306607          0          0 |  24107334 
       162 |    154165     794932      36999     403435     217275      50811      18889 |  24005769 
       163 |    129092     681667          0     204508     210753          0      10418 |  20490664 
       164 |         0    1767417          0     281982     418177          0          0 |  49064146 
       165 |    231615     855139          0     117625     180456          0      27848 |  21872408 
       166 |    140458     763588      12866     244847     121200          0      26413 |  20887158 
       167 |     35706    1002502          0     405797      52332          0          0 |  20793952 
       168 |    111412    1657162          0     123990     113661          0          0 |  48165681 
       169 |    248890     893770      16962     235525     113017          0          0 |  22645357 
       170 |     14978    1029579          0     260765     175967          0          0 |  23244708 
       171 |     57096     686936          0     171709      15062          0      13519 |  22242086 
       172 |     76396    1565537          0     198807      46629          0          0 |  43583517 
       173 |         0     413991          0     170553      28003          0     140957 |  21374489 
