
. tab ciclo act1 if (state=="P"|state=="T")&erte [fweight=facexp]

           |                               act1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       185 |         0      11743          0          0 |     90266 
       186 |         0      35139          0          0 |    345209 
       187 |         0          0          0          0 |     79807 
       188 |         0          0          0          0 |     24370 
       189 |     29203      16798          0          0 |    146192 
       190 |    800765     759741    1763599    1500082 |  17649723 
       191 |   9766978   13411529   11786311   15742420 | 175228183 
       192 |   2519063    2662444    2810626    2811366 |  34191750 
       193 |   2503954    2018088     798135    3458296 |  34269296 
       194 |   2476756    1725954     687868    3331720 |  32654361 
       195 |   1243533    1456086     219955    1463439 |  16795494 
       196 |    451764     428360      66127     524557 |   6483921 
       197 |    204340     477295      75515     359968 |   3955329 
       198 |    264406     195426      31108     257471 |   3865725 
       199 |     91014      65687          0      69219 |    589326 
       200 |         0      54771          0          0 |    224661 
       201 |     78756          0          0          0 |    456597 
-----------+--------------------------------------------+----------
     Total |  22589824   25476857   18804929   30100049 | 363610619 

. log close
