DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2001-Q1,61571,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2001-Q2,53856,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2001-Q3,85496,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2001-Q4,61895,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2002-Q1,62690,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2002-Q2,58927,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2002-Q3,69214,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2002-Q4,72743,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2003-Q1,64311,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2003-Q2,69275,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2003-Q3,80297,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2003-Q4,76001,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2004-Q1,73275,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2004-Q2,86319,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2004-Q3,87693,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2004-Q4,81362,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2005-Q1,75701,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2005-Q2,96825,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2005-Q3,97800,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2005-Q4,98536,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2006-Q1,90327,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2006-Q2,95572,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2006-Q3,108344,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2006-Q4,117158,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2007-Q1,103983,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2007-Q2,101524,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2007-Q3,109921,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2007-Q4,99786,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2008-Q1,101929,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2008-Q2,77780,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2008-Q3,78545,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2008-Q4,86147,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2009-Q1,70021,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2009-Q2,74351,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2009-Q3,82351,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2009-Q4,83399,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2010-Q1,187820,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2010-Q2,193572,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2010-Q3,153550,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2010-Q4,142567,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2011-Q1,148807,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2011-Q2,142820,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2011-Q3,131104,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2011-Q4,106631,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2012-Q1,107956,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2012-Q2,101697,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2012-Q3,92064,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2012-Q4,82161,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2013-Q1,76225,b
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2013-Q2,91386,
ESTAT:JVS_Q_NACE2(1.0),16/06/22 11:00:00,Q,NSA,B-S,TOTAL,JOBVAC,ES,2013-Q3,72790,
