Número de sociedades y capital (en miles de euros);Comunidades y Ciudades Autónomas;Forma jurídica;Periodo;Total
Número de Sociedades;Total Nacional;Total;2004M05;12.144
Número de Sociedades;Total Nacional;Total;2004M06;11.856
Número de Sociedades;Total Nacional;Total;2004M07;10.170
Número de Sociedades;Total Nacional;Total;2004M08;7.491
Número de Sociedades;Total Nacional;Total;2004M09;9.808
Número de Sociedades;Total Nacional;Total;2004M10;9.670
Número de Sociedades;Total Nacional;Total;2004M11;10.592
Número de Sociedades;Total Nacional;Total;2004M12;9.720
Número de Sociedades;Total Nacional;Total;2005M01;11.902
Número de Sociedades;Total Nacional;Total;2005M02;12.662
Número de Sociedades;Total Nacional;Total;2005M03;13.329
Número de Sociedades;Total Nacional;Total;2005M04;13.469
Número de Sociedades;Total Nacional;Total;2005M05;13.270
Número de Sociedades;Total Nacional;Total;2005M06;12.512
Número de Sociedades;Total Nacional;Total;2005M07;10.187
Número de Sociedades;Total Nacional;Total;2005M08;8.425
Número de Sociedades;Total Nacional;Total;2005M09;10.348
Número de Sociedades;Total Nacional;Total;2005M10;10.254
Número de Sociedades;Total Nacional;Total;2005M11;11.405
Número de Sociedades;Total Nacional;Total;2005M12;11.218
Número de Sociedades;Total Nacional;Total;2006M01;13.736
Número de Sociedades;Total Nacional;Total;2006M02;13.158
Número de Sociedades;Total Nacional;Total;2006M03;16.527
Número de Sociedades;Total Nacional;Total;2006M04;11.300
Número de Sociedades;Total Nacional;Total;2006M05;14.652
Número de Sociedades;Total Nacional;Total;2006M06;13.355
Número de Sociedades;Total Nacional;Total;2006M07;11.074
Número de Sociedades;Total Nacional;Total;2006M08;10.200
Número de Sociedades;Total Nacional;Total;2006M09;10.298
Número de Sociedades;Total Nacional;Total;2006M10;11.448
Número de Sociedades;Total Nacional;Total;2006M11;12.691
Número de Sociedades;Total Nacional;Total;2006M12;10.525
Número de Sociedades;Total Nacional;Total;2007M01;14.949
Número de Sociedades;Total Nacional;Total;2007M02;14.262
Número de Sociedades;Total Nacional;Total;2007M03;16.165
Número de Sociedades;Total Nacional;Total;2007M04;12.428
Número de Sociedades;Total Nacional;Total;2007M05;14.036
Número de Sociedades;Total Nacional;Total;2007M06;12.078
Número de Sociedades;Total Nacional;Total;2007M07;10.976
Número de Sociedades;Total Nacional;Total;2007M08;9.139
Número de Sociedades;Total Nacional;Total;2007M09;9.235
Número de Sociedades;Total Nacional;Total;2007M10;10.183
Número de Sociedades;Total Nacional;Total;2007M11;10.731
Número de Sociedades;Total Nacional;Total;2007M12;8.581
Número de Sociedades;Total Nacional;Total;2008M01;11.764
Número de Sociedades;Total Nacional;Total;2008M02;11.930
Número de Sociedades;Total Nacional;Total;2008M03;9.757
Número de Sociedades;Total Nacional;Total;2008M04;11.118
Número de Sociedades;Total Nacional;Total;2008M05;9.487
Número de Sociedades;Total Nacional;Total;2008M06;8.250
Número de Sociedades;Total Nacional;Total;2008M07;8.104
Número de Sociedades;Total Nacional;Total;2008M08;5.806
Número de Sociedades;Total Nacional;Total;2008M09;7.337
Número de Sociedades;Total Nacional;Total;2008M10;6.902
Número de Sociedades;Total Nacional;Total;2008M11;6.642
Número de Sociedades;Total Nacional;Total;2008M12;6.468
