ten_y | Coefficient std t p_stat lower_95 upper_95q50              |
          2 1 8  |  -2.974071   .4752314    -6.26   0.000     -3.90551   -2.042632
          2 1 9  |  -2.573565   1.089876    -2.36   0.018    -4.709688   -.4374421
          3 1 0  |  -3.427578    1.09159    -3.14   0.002    -5.567061   -1.288095
          3 1 1  |  -3.508281   .9586471    -3.66   0.000      -5.3872   -1.629361
          3 1 2  |  -2.906145     .82033    -3.54   0.000    -4.513967   -1.298323
          3 1 3  |    -3.5131   1.107208    -3.17   0.002    -5.683194   -1.343006
          3 1 4  |  -3.120431   .8497362    -3.67   0.000    -4.785888   -1.454974
          3 1 5  |  -1.750473   .2905747    -6.02   0.000    -2.319991   -1.180956
          3 1 6  |  -2.538552   .6182706    -4.11   0.000    -3.750344   -1.326761
          3 1 7  |  -3.099719   .5875872    -5.28   0.000    -4.251372   -1.948066
          3 1 8  |  -3.446799   .6244767    -5.52   0.000    -4.670755   -2.222844
          3 1 9  |  -3.090967   .6916512    -4.47   0.000    -4.446583   -1.735352
                 |
           _cons |    2.35289   .1075535    21.88   0.000     2.142088    2.563691
