
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7593775331    2285658.68   .0002827427
    permanent |    .6011841322    2285658.68   .0003238802
    temporary |    .1581934009    2285658.68   .0002413764
     self_emp |    .1060902672    2285658.68   .0002036944
         erte |    .0411661158    2285658.68   .0001314123
   unemployed |    .0889823891    2285658.68   .0001883258
     inactive |    .0455498106    2285658.68   .0001379159
        occ_0 |    .0194515307    2285658.68   .0000913494
        occ_1 |    .0269322539    2285658.68   .0001070785
        occ_2 |    .1857732844    2285658.68    .000257252
        occ_3 |    .1542818064    2285658.68   .0002389267
        occ_4 |     .068430681    2285658.68   .0001670042
        occ_5 |    .1653398223    2285658.68   .0002457186
        occ_6 |    .0144720821    2285658.68    .000078994
        occ_7 |    .1608343727    2285658.68   .0002430008
        occ_8 |     .101370993    2285658.68   .0001996372
        occ_9 |    .0735255187    2285658.68   .0001726355
        act_0 |    .0407757907    2285658.68   .0001308144
        act_1 |    .0424309854    2285658.68   .0001333279
        act_2 |    .0612164411    2285658.68   .0001585664
        act_3 |     .075146325    2285658.68   .0001743752
        act_4 |    .0781996462    2285658.68   .0001775887
        act_5 |    .2066084775    2285658.68    .000267801
        act_6 |    .1499401564    2285658.68   .0002361447
        act_7 |    .1317179256    2285658.68   .0002236904
        act_8 |    .1400419419    2285658.68    .000229542
        act_9 |    .0443346554    2285658.68   .0001361504
       tenure |    67.72428199    1978163.99    .042990107
----------------------------------------------------------
