
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     2,980        520      7,597      1,901        496 |    13,494 
       131 |     2,878        485      7,575      1,978        427 |    13,343 
       132 |     2,775        506      7,413      1,930        434 |    13,058 
       133 |     2,833        500      7,377      1,982        416 |    13,108 
       134 |     2,958        484      7,560      2,010        450 |    13,462 
       135 |     3,124        488      7,790      2,096        441 |    13,939 
       136 |     3,128        498      7,690      1,967        413 |    13,696 
       137 |     3,127        520      7,637      1,994        390 |    13,668 
       138 |     3,214        501      7,895      1,931        427 |    13,968 
       139 |     3,257        471      8,025      1,985        395 |    14,133 
       140 |     3,180        478      7,969      1,967        440 |    14,034 
       141 |     3,112        499      8,050      1,908        480 |    14,049 
       142 |     3,063        474      8,075      1,933        556 |    14,101 
       143 |     3,064        460      8,059      1,904        658 |    14,145 
       144 |     3,037        494      7,866      1,818        810 |    14,025 
       145 |     2,941        486      7,697      1,706      1,053 |    13,883 
       146 |     2,725        456      7,764      1,514      1,430 |    13,889 
       147 |     2,699        446      7,727      1,546      1,518 |    13,936 
       148 |     2,873        543      8,033      1,632      1,495 |    14,576 
       149 |     2,867        538      8,072      1,648      1,558 |    14,683 
       150 |     2,823        514      7,997      1,555      1,714 |    14,603 
       151 |     2,786        459      7,918      1,623      1,637 |    14,423 
       152 |     2,745        504      7,705      1,624      1,628 |    14,206 
       153 |     2,739        481      7,675      1,605      1,678 |    14,178 
       154 |     2,677        475      7,647      1,600      1,794 |    14,193 
       155 |     2,581        493      7,492      1,629      1,788 |    13,983 
       156 |     2,561        493      7,370      1,597      1,818 |    13,839 
       157 |     2,514        472      7,192      1,563      1,881 |    13,622 
       158 |     2,539        504      7,349      1,437      2,094 |    13,923 
       159 |     2,480        495      7,167      1,421      2,166 |    13,729 
       160 |     2,491        492      7,048      1,347      2,163 |    13,541 
       161 |     2,501        481      6,975      1,333      2,206 |    13,496 
       162 |     2,453        466      6,874      1,272      2,310 |    13,375 
       163 |     2,479        483      6,889      1,325      2,247 |    13,423 
       164 |     2,461        477      6,797      1,422      2,171 |    13,328 
       165 |     2,389        452      6,870      1,510      2,129 |    13,350 
       166 |     2,372        478      6,740      1,477      2,186 |    13,253 
       167 |     2,357        405      6,735      1,548      2,017 |    13,062 
       168 |     2,331        420      6,669      1,551      1,847 |    12,818 
       169 |     2,363        418      6,685      1,558      1,821 |    12,845 
       170 |     2,260        427      6,683      1,492      1,831 |    12,693 
       171 |     2,244        368      6,643      1,620      1,561 |    12,436 
       172 |     2,198        399      6,414      1,597      1,397 |    12,005 
       173 |     2,208        370      6,442      1,633      1,367 |    12,020 
       174 |     2,147        368      6,464      1,516      1,343 |    11,838 
       175 |     2,150        367      6,476      1,496      1,218 |    11,707 
       176 |     2,146        352      6,401      1,566      1,089 |    11,554 
       177 |     2,088        367      6,377      1,538      1,052 |    11,422 
       178 |     2,146        367      6,561      1,477      1,079 |    11,630 
       179 |     2,128        372      6,493      1,540        926 |    11,459 
       180 |     2,118        420      6,388      1,598        861 |    11,385 
       181 |     2,093        360      6,501      1,572        899 |    11,425 
       182 |     2,124        363      6,620      1,541        926 |    11,574 
       183 |     2,102        363      6,684      1,600        823 |    11,572 
       184 |     2,046        360      6,612      1,527        774 |    11,319 
       185 |     2,088        379      6,606      1,610        721 |    11,404 
       186 |     2,098        381      6,749      1,544        781 |    11,553 
       187 |     2,059        349      6,761      1,599        735 |    11,503 
       188 |     1,968        396      6,569      1,515        728 |    11,176 
       189 |     1,956        373      6,544      1,468        728 |    11,069 
       190 |     1,906        467      6,265      1,272        671 |    10,581 
       191 |     1,786        590      5,876      1,041        706 |     9,999 
       192 |     1,725        396      5,819      1,131        626 |     9,697 
       193 |     1,748        379      5,807      1,118        574 |     9,626 
       194 |     1,638        414      5,569      1,037        591 |     9,249 
       195 |     1,611        345      5,413        984        500 |     8,853 
       196 |     1,492        301      5,145        985        487 |     8,410 
       197 |     1,546        318      5,205        975        464 |     8,508 
       198 |     1,532        318      5,266        890        461 |     8,467 
       199 |     1,531        315      5,380        823        430 |     8,479 
       200 |     1,438        362      5,369        699        408 |     8,276 
       201 |     1,411        322      5,411        633        436 |     8,213 
-----------+-------------------------------------------------------+----------
     Total |   172,208     31,337    497,178    109,984     80,775 |   891,482 
