     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |   2746978   10559372   14648291   11530317   17204168   24256906   11743161 | 131196403 
       131 |   2437484   10282540   13564673   11272894   16912789   24220160   11327125 | 128544502 
       132 |   2365484    9565270   13564248   12476830   17218908   23856266   11466638 | 129659903 
       133 |   2936208   10645048   14897865   11039099   18238537   23913827   12078937 | 132965343 
       134 |   3178562   10329136   15084303   10518832   17240085   25182717   10014493 | 130275452 
       135 |   2716207   10219212   15167742   11081654   17210046   24438267    9672285 | 128789880 
       136 |   2914358    9263664   15361767   11171231   16660910   24071013   11936017 | 127739534 
       137 |   2343673   10498194   15745650   11205877   18079329   24015493   11133027 | 129389535 
       138 |   2771706   10421118   15923093   11497663   18107624   24437231   12412148 | 133259230 
       139 |   3278831    9543073   14571812   12833338   18913601   24996142   12483732 | 136031898 
       140 |   2918351    9390785   15972094   12414084   18893292   25496532   11613232 | 137404142 
       141 |   3060501    9103961   16204089   12959063   19480260   25755393   11886247 | 140434107 
       142 |   2078127    8976909   17304503   13552013   19751296   26274660   16528215 | 140710158 
       143 |   2332420    8911277   16433566   12643601   19399623   26239542   16679997 | 138641382 
       144 |   2240142    8715586   16481503   12442229   19692173   27095231   16693340 | 140373287 
       145 |   2577223    8157431   16981153   11608190   19072585   25984968   17228408 | 139132534 
       146 |   2571308    7553596   15006941   11116877   20153114   25163586   16264374 | 136519487 
       147 |   2123944    8353853   14849174   11040634   18542886   25365368   15623733 | 134229815 
       148 |   1934608    7599392   14678974   11784721   17548280   25734167   16833399 | 134208997 
       149 |   2156233    7793014   14880058   12404868   16755866   25818737   17753360 | 136663116 
       150 |   2523382    7313234   14895512   12404340   15085454   25460408   17722580 | 134770088 
       151 |   2415503    7246674   14980699   12310862   15320064   24486720   17683364 | 134295027 
       152 |   2799605    6938575   15103494   11954046   15467810   25837956   17108165 | 135203594 
       153 |   2727983    7234538   15282390   12401061   15014574   26746021   17039812 | 136235614 
       154 |   2681404    7927904   14175747   10991216   14857003   27437759   16755017 | 134785377 
       155 |   2848273    7902591   14377143   11217902   14392326   26884465   16918000 | 133818755 
       156 |   2580010    8273374   14772127   11792087   13890545   26608842   16704493 | 133617105 
       157 |   2900411    8550523   14621027   11246356   12229171   25425634   16434692 | 130510937 
       158 |   2425592    8377140   14750779   10679722   10450281   26479370   16353198 | 128187833 
       159 |   2162007    7248761   13298541   10344987   10899954   25294120   15772486 | 123632185 
       160 |   2480686    7752595   13834523   11334102   10364737   24584232   15985606 | 123350633 
       161 |   2057744    7186082   12348160   11822811    9477084   24370531   15888584 | 121958347 
       162 |   2231369    7460898   12107388   11248812   10237684   23939099   15502072 | 121521317 
       163 |   2279627    7194730   12150194   11561065    9223341   24171973   15647111 | 119341706 
       164 |   2011568    7525028   11318516   11708112    9967451   22517918   15883788 | 118032754 
       165 |   1964614    7695974   11503715   11302363    9242143   22728429   16301792 | 118144945 
       166 |   2416785    6755866   10705257   11150337    9154831   21987963   15126073 | 117055930 
       167 |   2487994    6967576   10634249   11125468    9069800   23056758   14808513 | 117019248 
