
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure [pw=factorel] if 
> (((mother_10==1|mother_20==0)&wife==1)|((father_10==1|father_20==0)&husband==1))&age3040==1, s(mean n semean)
>  format(%12.0g)

     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6520288699   324393291.6   .0000264466
    permanent |    .4926429894   324393291.6   .0000277579
    temporary |    .1593858805   324393291.6    .000020323
     self_emp |      .10969379   324393291.6    .000017351
         erte |    .0027093079   324393291.6   2.88605e-06
   unemployed |     .120659148   324393291.6   .0000180852
     inactive |    .1176181921   324393291.6   .0000178867
        occ_0 |    .0052493856   324393291.6   4.01213e-06
        occ_1 |    .0417069791   324393291.6   .0000110999
        occ_2 |     .147081857   324393291.6   .0000196652
        occ_3 |    .1014933675   324393291.6   .0000167665
        occ_4 |    .0882935562   324393291.6   .0000157527
        occ_5 |    .1670587061   324393291.6   .0000207112
        occ_6 |    .0126977123   324393291.6   6.21659e-06
        occ_7 |    .1163958423   324393291.6   .0000178058
        occ_8 |    .0706705957   324393291.6   .0000142288
        occ_9 |    .1132949765   324393291.6   .0000175978
        act_0 |    .0341353753   324393291.6   .0000100815
        act_1 |    .0411709428   324393291.6   .0000110314
        act_2 |    .0508798362   324393291.6   .0000122011
        act_3 |    .0414040688   324393291.6   .0000110612
        act_4 |    .0831539538   324393291.6   .0000153304
        act_5 |    .2108831791   324393291.6   .0000226493
        act_6 |    .0680634715   324393291.6   .0000139834
        act_7 |    .1145882753   324393291.6   .0000176851
        act_8 |    .1608366527   324393291.6   .0000203976
        act_9 |    .0588272228   324393291.6   .0000130644
       tenure |    77.80470203     247097721   .0040176599
----------------------------------------------------------

. log close
