
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure if mother_10==1&w
> ife==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean        n        semean
-----------------------------------------------------
     employed |    .5423961297  391,498   .0007962307
    permanent |    .4011259317  391,498   .0007833285
    temporary |    .1412701981  391,498   .0005566591
     self_emp |    .0810604396  391,498   .0004361981
         erte |    .0021507134  391,498   .0000740388
   unemployed |    .1383327629  391,498   .0005517827
     inactive |    .2382106677  391,498   .0006808224
        occ_0 |    .0013691002  391,498   .0000590957
        occ_1 |    .0276680851  391,498   .0002621396
        occ_2 |    .1453442929  391,498   .0005632878
        occ_3 |    .0782583819  391,498   .0004292456
        occ_4 |    .1136455359  391,498   .0005072426
        occ_5 |    .2016613112  391,498   .0006412696
        occ_6 |    .0065721919  391,498   .0001291395
        occ_7 |    .0186999678  391,498   .0002164996
        occ_8 |    .0200895024  391,498   .0002242403
        occ_9 |     .128851233  391,498    .000535459
        act_0 |    .0294714149  391,498   .0002702965
        act_1 |    .0347996669  391,498   .0002929086
        act_2 |    .0208200297  391,498   .0002281958
        act_3 |    .0172414674  391,498   .0002080397
        act_4 |    .0135939392  391,498   .0001850701
        act_5 |    .2169845057  391,498   .0006587723
        act_6 |    .0277523768  391,498   .0002625272
        act_7 |    .1042227547  391,498   .0004883341
        act_8 |    .2065042478  391,498   .0006469528
        act_9 |    .0707691993  391,498   .0004098451
       tenure |    83.60898387  244,082   .1304928087
-----------------------------------------------------

. log close
