
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure if (((mother_10==
> 1|mother_20==0)&wife==1)|((father_10==1|father_20==0)&husband==1))&age3040==1, s(mean n semean) format(%12.0g
> )

     variable |           mean        n        semean
-----------------------------------------------------
     employed |     .640834572  914,289     .00050174
    permanent |    .4850643505  914,289   .0005226785
    temporary |    .1557702215  914,289   .0003792548
     self_emp |    .1163844255  914,289   .0003353803
         erte |     .002222492  914,289   .0000492488
   unemployed |    .1172025476  914,289   .0003364012
     inactive |     .125578455  914,289   .0003465584
        occ_0 |    .0058920101  914,289     .00008004
        occ_1 |     .041810631  914,289   .0002093281
        occ_2 |    .1416893346  914,289   .0003647114
        occ_3 |    .0998699536  914,289   .0003135657
        occ_4 |     .087166093  914,289   .0002950042
        occ_5 |    .1681558019  914,289   .0003911429
        occ_6 |    .0146211975  914,289   .0001255312
        occ_7 |    .1182273876  914,289   .0003376726
        occ_8 |    .0744447325  914,289   .0002745217
        occ_9 |     .105803526  914,289   .0003216807
        act_0 |     .036672212  914,289   .0001965686
        act_1 |    .0441359351  914,289   .0002148091
        act_2 |    .0539862122  914,289   .0002363462
        act_3 |    .0417592249  914,289    .000209205
        act_4 |    .0810039276  914,289   .0002853437
        act_5 |    .2060748844  914,289   .0004230199
        act_6 |    .0595840046  914,289   .0002475616
        act_7 |    .1054786834  914,289   .0003212449
        act_8 |    .1755320254  914,289   .0003978539
        act_9 |    .0534535579  914,289   .0002352436
       tenure |    82.96350082  692,317    .078206268
-----------------------------------------------------

. log close
