
. tab ciclo act1 if state=="P"|state=="T"

           |                               act1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       173 |     1,553      2,422      2,856      2,157      2,325     10,156 |    48,157 
       174 |     1,490      2,357      2,844      2,181      2,237      9,951 |    47,428 
       175 |     1,414      2,436      2,817      2,202      2,344     10,341 |    48,036 
       176 |     1,363      2,546      2,804      2,195      2,411     10,739 |    48,702 
       177 |     1,518      2,558      2,830      2,251      2,382     10,242 |    48,282 
       178 |     1,609      2,507      2,813      2,309      2,364     10,120 |    48,388 
       179 |     1,548      2,585      2,955      2,249      2,478     10,652 |    49,538 
       180 |     1,463      2,574      3,006      2,301      2,509     11,028 |    50,201 
       181 |     1,588      2,659      2,966      2,411      2,543     10,572 |    50,345 
       182 |     1,611      2,595      3,051      2,375      2,580     10,358 |    50,458 
       183 |     1,610      2,645      3,178      2,485      2,728     11,139 |    52,051 
       184 |     1,502      2,633      3,228      2,498      2,739     11,540 |    52,500 
       185 |     1,629      2,719      3,136      2,524      2,851     11,124 |    52,934 
       186 |     1,640      2,708      3,219      2,494      2,856     10,901 |    53,020 
       187 |     1,547      2,751      3,323      2,520      2,904     11,365 |    53,786 
       188 |     1,438      2,766      3,358      2,545      2,895     11,656 |    53,760 
       189 |     1,559      2,713      3,256      2,520      2,867     11,297 |    53,578 
       190 |     1,503      2,621      3,240      2,425      2,707     10,434 |    51,031 
       191 |     1,346      2,386      2,910      2,231      2,398      8,893 |    45,854 
       192 |     1,303      2,365      2,964      2,243      2,618      9,357 |    47,058 
       193 |     1,433      2,419      2,994      2,242      2,636      9,029 |    47,561 
       194 |     1,404      2,309      2,877      2,122      2,482      8,362 |    45,397 
       195 |     1,384      2,263      2,806      2,061      2,528      8,538 |    44,767 
       196 |     1,222      2,195      2,739      2,008      2,448      8,730 |    43,730 
       197 |     1,354      2,246      2,708      1,962      2,391      8,571 |    43,873 
       198 |     1,353      2,237      2,622      1,947      2,393      8,513 |    43,688 
       199 |     1,290      2,320      2,653      1,914      2,397      9,087 |    44,289 
       200 |     1,169      2,270      2,601      1,960      2,351      9,138 |    43,845 
       201 |     1,228      2,280      2,511      1,951      2,282      8,663 |    43,228 
-----------+------------------------------------------------------------------+----------
     Total |   104,816    191,112    230,240    170,451    257,566    733,881 | 3,624,033 


           |                    act1
     ciclo |         6          7          8          9 |     Total
-----------+--------------------------------------------+----------
       130 |     2,661      5,023     12,471      3,563 |    49,892 
       131 |     2,647      5,179     12,466      3,648 |    50,377 
       132 |     2,649      5,120     12,259      3,698 |    49,833 
       133 |     2,639      5,218     12,449      3,639 |    49,951 
       134 |     2,705      5,426     12,761      3,864 |    51,254 
       135 |     2,835      5,708     13,121      4,111 |    53,960 
       136 |     2,948      5,789     13,024      4,161 |    54,000 
       137 |     2,888      5,941     13,344      4,057 |    54,251 
       138 |     2,950      6,144     13,571      4,198 |    55,678 
       139 |     3,049      6,272     13,911      4,353 |    57,120 
       140 |     2,993      6,303     13,901      4,317 |    57,179 
       141 |     2,955      6,318     13,974      4,209 |    56,751 
       142 |     3,670      6,177     13,933      3,754 |    56,743 
       143 |     3,712      6,188     14,177      3,864 |    56,819 
       144 |     3,720      6,212     14,094      3,864 |    56,003 
