
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure [pw=factorel] if 
> mother_10==1&wife==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .5495793399   127222162.3   .0000441106
    permanent |    .4079960956   127222162.3   .0000435721
    temporary |    .1415832442   127222162.3   .0000309082
     self_emp |    .0766765124   127222162.3   .0000235899
         erte |    .0027747533   127222162.3   4.66367e-06
   unemployed |    .1412675793   127222162.3   .0000308794
     inactive |    .2324765685   127222162.3   .0000374502
        occ_0 |    .0011420506   127222162.3   2.99442e-06
        occ_1 |    .0279136134   127222162.3   .0000146042
        occ_2 |     .144582472   127222162.3   .0000311792
        occ_3 |    .0758403495   127222162.3   .0000234716
        occ_4 |    .1151618201   127222162.3   .0000283012
        occ_5 |    .1982484315   127222162.3   .0000353463
        occ_6 |    .0048381213   127222162.3   6.15182e-06
        occ_7 |    .0176042274   127222162.3   .0000116592
        occ_8 |     .019651211   127222162.3   .0000123056
        occ_9 |    .1399453253   127222162.3   .0000307582
        act_0 |    .0271420977   127222162.3   .0000144067
        act_1 |    .0326848354   127222162.3   .0000157643
        act_2 |    .0218681988   127222162.3   .0000129665
        act_3 |    .0169667604   127222162.3   .0000114499
        act_4 |    .0127683504   127222162.3   9.95395e-06
        act_5 |    .2230725549   127222162.3    .000036909
        act_6 |    .0318168569   127222162.3   .0000155606
        act_7 |    .1096155285   127222162.3   .0000276977
        act_8 |    .1893827169   127222162.3   .0000347374
        act_9 |    .0796097221   127222162.3   .0000239987
       tenure |     79.9368122   79673623.68   .0070914235
----------------------------------------------------------

. log close
