
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7469935269    4495890.07   .0002050295
    permanent |    .5750428769    4495890.07    .000233139
    temporary |      .17195065    4495890.07   .0001779599
     self_emp |    .1566260182    4495890.07   .0001714093
         erte |              0    4495890.07             0
   unemployed |    .0704560532    4495890.07   .0001206942
     inactive |    .0259244017    4495890.07    .000074945
        occ_0 |    .0145922451    4495890.07   .0000565537
        occ_1 |     .037312794    4495890.07   .0000893848
        occ_2 |    .1207198333    4495890.07   .0001536545
        occ_3 |    .1024294862    4495890.07    .000143001
        occ_4 |    .0422081606    4495890.07   .0000948257
        occ_5 |    .1512017108    4495890.07   .0001689557
        occ_6 |    .0303979875    4495890.07   .0000809676
        occ_7 |     .227500587    4495890.07   .0001977118
        occ_8 |    .1274440636    4495890.07    .000157271
        occ_9 |    .1141927276    4495890.07   .0001499965
        act_0 |    .0669229286    4495890.07   .0001178524
        act_1 |    .0497997296    4495890.07   .0001025919
        act_2 |    .0889713858    4495890.07   .0001342714
        act_3 |    .0635526215    4495890.07   .0001150537
        act_4 |    .1265089028    4495890.07   .0001567769
        act_5 |    .2202089185    4495890.07   .0001954334
        act_6 |    .1074398312    4495890.07   .0001460473
        act_7 |    .0917527617    4495890.07   .0001361457
        act_8 |    .1152738594    4495890.07   .0001506129
        act_9 |    .0375686566    4495890.07   .0000896788
       tenure |    83.13079473    4062574.14   .0337096667
----------------------------------------------------------
