
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6868054574   13437736.99   .0001265205
    permanent |    .5219564444   13437736.99   .0001362661
    temporary |     .164849013   13437736.99   .0001012191
     self_emp |    .1011415777   13437736.99   .0000822522
         erte |    .0136499494   13437736.99   .0000316532
   unemployed |    .1011698927   13437736.99   .0000822624
     inactive |    .1108830721   13437736.99   .0000856543
        occ_0 |     .008677825   13437736.99   .0000253017
        occ_1 |    .0295243485   13437736.99   .0000461763
        occ_2 |     .185165989   13437736.99   .0001059625
        occ_3 |    .1018557128   13437736.99   .0000825093
        occ_4 |     .087986222   13437736.99   .0000772761
        occ_5 |    .1859888285   13437736.99    .000106144
        occ_6 |    .0119893059   13437736.99   .0000296903
        occ_7 |    .0960705267   13437736.99   .0000803895
        occ_8 |    .0636161722   13437736.99   .0000665806
        occ_9 |    .1073971846   13437736.99   .0000844622
        act_0 |    .0349425458   13437736.99   .0000500946
        act_1 |    .0333212081   13437736.99   .0000489597
        act_2 |    .0500311072   13437736.99   .0000594719
        act_3 |    .0393072152   13437736.99   .0000530109
        act_4 |    .0589530492   13437736.99   .0000642533
        act_5 |    .2138549342   13437736.99   .0001118531
        act_6 |    .0774763579   13437736.99   .0000729307
        act_7 |    .1223210769   13437736.99   .0000893831
        act_8 |    .1892225307   13437736.99   .0001068499
        act_9 |      .05884209   13437736.99   .0000641966
       tenure |    78.61777677   10588225.02   .0200862818
----------------------------------------------------------
