
     variable |           mean             n        semean
----------------------------------------------------------
     employed |     .762344974    2189396.87   .0002876651
    permanent |    .6125345699    2189396.87   .0003292453
    temporary |    .1498104042    2189396.87   .0002411941
     self_emp |    .1302686205    2189396.87   .0002274837
         erte |    .0136058932    2189396.87   .0000782937
   unemployed |    .0655653993    2189396.87   .0001672822
     inactive |    .0418210062    2189396.87   .0001352877
        occ_0 |    .0179441519    2189396.87   .0000897155
        occ_1 |    .0307385431    2189396.87   .0001166541
        occ_2 |    .1869440464    2189396.87   .0002634838
        occ_3 |    .1632990322    2189396.87   .0002498129
        occ_4 |    .0661076491    2189396.87   .0001679237
        occ_5 |     .151510064    2189396.87   .0002423159
        occ_6 |    .0111462067    2189396.87   .0000709525
        occ_7 |    .1600050703    2189396.87   .0002477668
        occ_8 |    .1024113687    2189396.87   .0002049041
        occ_9 |    .0752657375    2189396.87   .0001782974
        act_0 |    .0310554934    2189396.87   .0001172348
        act_1 |    .0311935816    2189396.87   .0001174868
        act_2 |    .0660717625    2189396.87   .0001678814
        act_3 |    .0693412702    2189396.87   .0001716837
        act_4 |    .0971632978    2189396.87   .0002001675
        act_5 |    .2062507288    2189396.87   .0002734496
        act_6 |     .147195981    2189396.87   .0002394476
        act_7 |    .1331880181    2189396.87   .0002296323
        act_8 |    .1340575316    2189396.87    .000230265
        act_9 |    .0498542048    2189396.87   .0001470902
       tenure |     72.4807791    1954285.41   .0431005799
----------------------------------------------------------
