
     variable |           mean             n        semean
----------------------------------------------------------
     employed |     .581256874     4957510.3   .0002215777
    permanent |    .4442846564     4957510.3   .0002231645
    temporary |    .1369722177     4957510.3   .0001544176
     self_emp |    .0928424052     4957510.3   .0001303415
         erte |    .0031286733     4957510.3   .0000250823
   unemployed |    .1169293829     4957510.3   .0001443204
     inactive |    .2089713379     4957510.3   .0001826029
        occ_0 |    .0010597699     4957510.3   .0000146131
        occ_1 |    .0220287853     4957510.3   .0000659214
        occ_2 |    .1908995066     4957510.3    .000176511
        occ_3 |    .0592566273     4957510.3   .0001060406
        occ_4 |    .1081128727     4957510.3   .0001394639
        occ_5 |    .2334282856     4957510.3   .0001899859
        occ_6 |    .0043687171     4957510.3   .0000296206
        occ_7 |    .0188728241     4957510.3   .0000611152
        occ_8 |     .021688312     4957510.3   .0000654214
        occ_9 |     .127898645     4957510.3   .0001499977
        act_0 |     .023591128     4957510.3   .0000681645
        act_1 |    .0325416631     4957510.3   .0000796901
        act_2 |    .0232209381     4957510.3   .0000676404
        act_3 |     .014258631     4957510.3   .0000532462
        act_4 |    .0107781581     4957510.3   .0000463754
        act_5 |    .2364707381     4957510.3   .0001908402
        act_6 |    .0365565393     4957510.3   .0000842876
        act_7 |    .1056453962     4957510.3   .0001380538
        act_8 |    .2367766841     4957510.3   .0001909253
        act_9 |    .0677744694     4957510.3   .0001128916
       tenure |    79.11188238    3341854.12   .0362606864
----------------------------------------------------------
