
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7335129134    3542517.17   .0002349016
    permanent |    .6159438572    3542517.17   .0002584116
    temporary |    .1175690561    3542517.17   .0001711319
     self_emp |    .1452181077    3542517.17   .0001871898
         erte |    .0004492963    3542517.17   .0000112593
   unemployed |    .0764307121    3542517.17   .0001411604
     inactive |    .0448382668    3542517.17    .000109953
        occ_0 |    .0141170297    3542517.17   .0000626799
        occ_1 |     .039746379    3542517.17   .0001037972
        occ_2 |     .105930555    3542517.17   .0001635085
        occ_3 |    .1050202136    3542517.17   .0001628873
        occ_4 |    .0397154518    3542517.17   .0001037585
        occ_5 |    .1524795602    3542517.17   .0001909963
        occ_6 |    .0283157894    3542517.17   .0000881294
        occ_7 |    .2189396841    3542517.17   .0002197094
        occ_8 |    .1316058632    3542517.17    .000179614
        occ_9 |    .1097815963    3542517.17   .0001660952
        act_0 |    .0516787869    3542517.17   .0001176191
        act_1 |    .0596333002    3542517.17   .0001258164
        act_2 |    .0774569287    3542517.17   .0001420259
        act_3 |    .0607184467    3542517.17   .0001268827
        act_4 |    .1284626886    3542517.17    .000177777
        act_5 |    .2144514856    3542517.17   .0002180696
        act_6 |    .1163908854    3542517.17   .0001703859
        act_7 |    .0938010302    3542517.17   .0001549029
        act_8 |    .1138815285    3542517.17   .0001687783
        act_9 |    .0291770414    3542517.17     .00008942
       tenure |    84.09454253    3112919.73   .0387159766
----------------------------------------------------------
