
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7721715882    2308341.29   .0002760647
    permanent |    .5913741334    2308341.29   .0003235521
    temporary |    .1807974548    2308341.29   .0002533039
     self_emp |    .1301436929    2308341.29    .000221455
         erte |    .0001360977    2308341.29   7.67796e-06
   unemployed |    .0612766711    2308341.29    .000157858
     inactive |    .0364080478    2308341.29   .0001232808
        occ_0 |    .0155639464    2308341.29   .0000814711
        occ_1 |    .0339504433    2308341.29    .000119199
        occ_2 |    .1874585755    2308341.29   .0002568772
        occ_3 |    .1563899505    2308341.29   .0002390702
        occ_4 |    .0634019807    2308341.29   .0001603903
        occ_5 |    .1496261629    2308341.29   .0002347788
        occ_6 |    .0245195545    2308341.29   .0001017925
        occ_7 |    .1671110081    2308341.29   .0002455535
        occ_8 |    .0908361909    2308341.29   .0001891475
        occ_9 |    .0849329303    2308341.29   .0001834909
        act_0 |    .0497576639    2308341.29    .000143119
        act_1 |    .0366837566    2308341.29    .000123729
        act_2 |    .0743203922    2308341.29   .0001726372
        act_3 |    .0650036936    2308341.29   .0001622647
        act_4 |    .0865407169    2308341.29   .0001850567
        act_5 |    .2071875126    2308341.29   .0002667578
        act_6 |    .1440041867    2308341.29   .0002310859
        act_7 |    .1328023769    2308341.29   .0002233634
        act_8 |    .1361593458    2308341.29   .0002257307
        act_9 |     .041331098    2308341.29   .0001310156
       tenure |    71.44356123    2082851.62   .0427305772
----------------------------------------------------------
