
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7286669675    4191467.03   .0002171865
    permanent |    .5823362518    4191467.03   .0002408892
    temporary |    .1463307156    4191467.03   .0001726353
     self_emp |    .1406488911    4191467.03   .0001698128
         erte |    .0332640049    4191467.03   .0000875907
   unemployed |    .0848629483    4191467.03   .0001361191
     inactive |    .0458211931    4191467.03   .0001021328
        occ_0 |    .0150581454    4191467.03   .0000594851
        occ_1 |    .0358013552    4191467.03   .0000907507
        occ_2 |     .116563212    4191467.03    .000156742
        occ_3 |    .1052513325    4191467.03    .000149893
        occ_4 |    .0404277163    4191467.03   .0000962045
        occ_5 |    .1595109935    4191467.03   .0001788456
        occ_6 |    .0241181761    4191467.03   .0000749355
        occ_7 |    .2258524147    4191467.03   .0002042402
        occ_8 |    .1219403246    4191467.03   .0001598279
        occ_9 |    .1166203519    4191467.03   .0001567754
        act_0 |    .0621139945    4191467.03   .0001178927
        act_1 |    .0556050205    4191467.03   .0001119311
        act_2 |    .0837155863    4191467.03   .0001352805
        act_3 |    .0635202873    4191467.03   .0001191304
        act_4 |    .1288697433    4191467.03   .0001636568
        act_5 |    .2193086438    4191467.03   .0002021085
        act_6 |    .1042569146    4191467.03   .0001492661
        act_7 |    .1011724551    4191467.03   .0001472944
        act_8 |    .1108573625    4191467.03   .0001533504
        act_9 |    .0317240143    4191467.03   .0000856073
       tenure |    85.37046005    3643708.76   .0351404165
----------------------------------------------------------
