
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6926955504   13180873.09   .0001270819
    permanent |     .560716536   13180873.09   .0001367011
    temporary |    .1319790144   13180873.09   .0000932278
     self_emp |    .1036813511   13180873.09   .0000839672
         erte |    .0015643266   13180873.09   .0000108856
   unemployed |      .08998425   13180873.09   .0000788199
     inactive |    .1136388485   13180873.09   .0000874172
        occ_0 |    .0077919778   13180873.09   .0000242188
        occ_1 |    .0300066966   13180873.09   .0000469917
        occ_2 |     .189070451   13180873.09   .0001078528
        occ_3 |    .0972802607   13180873.09   .0000816238
        occ_4 |    .0863259833   13180873.09   .0000773561
        occ_5 |    .1942432146   13180873.09    .000108969
        occ_6 |    .0121265017   13180873.09   .0000301472
        occ_7 |    .0934197417   13180873.09   .0000801586
        occ_8 |    .0666117832   13180873.09   .0000686807
        occ_9 |    .1072919374   13180873.09   .0000852445
        act_0 |    .0299286707   13180873.09   .0000469325
        act_1 |    .0402163541   13180873.09   .0000541148
        act_2 |    .0476349803   13180873.09   .0000586668
        act_3 |    .0369816595   13180873.09   .0000519803
        act_4 |    .0566576125   13180873.09   .0000636783
        act_5 |    .2233474156   13180873.09   .0001147181
        act_6 |    .0847103923   13180873.09   .0000766965
        act_7 |    .1149066325   13180873.09   .0000878405
        act_8 |    .1961997678   13180873.09   .0001093834
        act_9 |    .0535850626   13180873.09   .0000620284
       tenure |     74.7452901   10496942.87   .0197760589
----------------------------------------------------------
