
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7378645768    2098078.25    .000303627
    permanent |    .5249634993    2098078.25   .0003447603
    temporary |    .2129010775    2098078.25   .0002826135
     self_emp |    .0744078254    2098078.25   .0001811792
         erte |    .0131175327    2098078.25   .0000785503
   unemployed |     .099812507    2098078.25   .0002069418
     inactive |    .0879150909    2098078.25   .0001954963
        occ_0 |    .0029626683    2098078.25    .000037522
        occ_1 |    .0205305593    2098078.25   .0000979005
        occ_2 |    .3067966698    2098078.25   .0003183794
        occ_3 |    .1021788153    2098078.25   .0002091051
        occ_4 |    .1384087605    2098078.25   .0002384085
        occ_5 |    .2132136444    2098078.25   .0002827647
        occ_6 |    .0015649988    2098078.25   .0000272902
        occ_7 |    .0093475827    2098078.25   .0000664354
        occ_8 |    .0194483309    2098078.25   .0000953379
        occ_9 |    .0924408372    2098078.25   .0001999672
        act_0 |    .0109582233    2098078.25   .0000718731
        act_1 |    .0248230923    2098078.25   .0001074135
        act_2 |    .0310979345    2098078.25   .0001198381
        act_3 |    .0270444489    2098078.25   .0001119889
        act_4 |    .0192312608    2098078.25   .0000948149
        act_5 |    .1977612513    2098078.25   .0002749867
        act_6 |    .0579290119    2098078.25   .0001612795
        act_7 |    .1669233071    2098078.25   .0002574484
        act_8 |    .2844445244    2098078.25   .0003114653
        act_9 |    .0866798128    2098078.25   .0001942494
       tenure |    61.26550568    1704211.06   .0411990734
----------------------------------------------------------
