
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .5903523102    5352230.94   .0002125659
    permanent |    .4270923986    5352230.94   .0002138138
    temporary |    .1632599116    5352230.94   .0001597599
     self_emp |    .0814621519    5352230.94   .0001182385
         erte |    .0159088651    5352230.94   .0000540841
   unemployed |    .1299770073    5352230.94   .0001453554
     inactive |    .1982085306    5352230.94   .0001723156
        occ_0 |    .0017750112    5352230.94   .0000181948
        occ_1 |    .0244848403    5352230.94   .0000668034
        occ_2 |    .1836952349    5352230.94   .0001673816
        occ_3 |    .0713770658    5352230.94   .0001112837
        occ_4 |     .108913729    5352230.94   .0001346585
        occ_5 |    .2216833454    5352230.94   .0001795467
        occ_6 |    .0062336268    5352230.94   .0000340209
        occ_7 |    .0135094339    5352230.94   .0000498997
        occ_8 |    .0203447069    5352230.94   .0000610232
        occ_9 |    .1257712116    5352230.94   .0001433296
        act_0 |    .0276818137    5352230.94   .0000709143
        act_1 |    .0254850793    5352230.94   .0000681193
        act_2 |    .0238717465    5352230.94   .0000659824
        act_3 |    .0157092269    5352230.94   .0000537492
        act_4 |    .0089581355    5352230.94   .0000407275
        act_5 |    .2278128473    5352230.94   .0001812938
        act_6 |    .0360040088    5352230.94   .0000805278
        act_7 |     .113659918    5352230.94   .0001371944
        act_8 |    .2249015716    5352230.94   .0001804709
        act_9 |    .0737038582    5352230.94   .0001129413
       tenure |    81.35055903    3595706.15   .0352444728
----------------------------------------------------------
