
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  18132849   54607584   68950371   24288512   12864611 | 178843927 
       131 |  17676196   51954275   69432336   27198863   11013499 | 177275169 
       132 |  17762040   55951712   67277969   26780447    9853501 | 177625669 
       133 |  17329236   54140316   69493480   29632260   11146346 | 181741638 
       134 |  17620286   51015672   69945877   27654339   12717977 | 178954151 
       135 |  17497843   50262396   72465782   31018195    9512339 | 180756555 
       136 |  17015941   50463812   71882410   32019918   10081977 | 181464058 
       137 |  17557946   47487100   77183902   31673282   11771047 | 185673277 
       138 |  18884162   46204837   78861170   28052809   13271126 | 185274104 
       139 |  17940198   45876443   82092203   29238981   11660684 | 186808509 
       140 |  17090297   47585566   80889675   27265199   12092220 | 184922957 
       141 |  18088491   45138629   83198078   29111494   12479759 | 188016451 
       142 |  17059695   45835296   83268472   29138250   14005846 | 189307559 
       143 |  18196020   44030274   82639460   28467007   14783065 | 188115826 
       144 |  19736645   43873700   83398857   28067555   15299912 | 190376669 
       145 |  18422552   43010431   84254377   27775334   18054447 | 191517141 
       146 |  17481800   40350906   87283400   25977736   21558377 | 192652219 
       147 |  17135252   39567838   86778410   25302581   22308087 | 191092168 
       148 |  16947729   38533951   86088318   27715990   21850178 | 191136166 
       149 |  15741745   37948211   88643555   25618209   23856692 | 191808412 
       150 |  15227247   36802109   86287610   26789986   26391330 | 191498282 
       151 |  15083732   33688323   85896932   25300053   25558228 | 185527268 
       152 |  15260403   34057968   83680788   25770699   25045720 | 183815578 
       153 |  15112521   31845584   84985427   26777906   26964920 | 185686358 
       154 |  15193704   31792911   82728762   26188899   29197970 | 185102246 
       155 |  14857323   32058727   83706153   26393160   27530471 | 184545834 
       156 |  14798421   33833207   82064877   25500176   27577662 | 183774343 
       157 |  14259390   32687091   83214772   26720438   29254515 | 186136206 
       158 |  15242214   30916056   78540372   26408734   31724282 | 182831658 
       159 |  14645927   30872847   81223029   24557194   30670290 | 181969287 
       160 |  14573250   30429033   77942461   24540125   31660916 | 179145785 
       161 |  14487126   28644729   82097670   22308979   32285412 | 179823916 
       162 |  13635219   27767223   80904975   21378132   33711676 | 177397225 
       163 |  13872035   26131087   80691200   22260929   32585025 | 175540276 
       164 |  13625282   28936404   78793112   22845776   30954858 | 175155432 
       165 |  13541599   26403901   76994122   22400848   31735543 | 171076013 
       166 |  13423679   26497425   75278630   22461575   30525141 | 168186450 
       167 |  14908662   26323540   75498533   23838557   29204740 | 169774032 
       168 |  13174855   27858166   74482832   22535200   30086556 | 168137609 
       169 |  13518958   26348095   72372734   23361830   29367767 | 164969384 
       170 |  14009222   26918288   70140143   21695839   30285219 | 163048711 
       171 |  14238484   24113029   70376720   23647654   29156604 | 161532491 
       172 |  14053535   25731965   68276826   23716042   25435740 | 157214108 
       173 |  14486323   25015334   68061203   23409564   25518643 | 156491067 
       174 |  14971397   24819542   69293579   22920562   24943010 | 156948090 
       175 |  16127816   22592691   68285604   23641522   23324428 | 153972061 
       176 |  15380989   24514425   69301269   24134095   22665392 | 155996170 
       177 |  14339008   25021450   73126916   25202575   22243004 | 159932953 
       178 |  13330662   23641850   71759877   25467111   23027351 | 157226851 
       179 |  13053837   24457194   70616886   26511016   20757306 | 155396239 
       180 |  13344598   25057205   69975186   26088369   20291840 | 154757198 
       181 |  12635622   23374189   68448444   26264438   21798506 | 152521199 
       182 |  13445398   23323269   67818799   24295940   20819526 | 149702932 
       183 |  13830065   21590280   69526462   25351628   18920222 | 149218657 
       184 |  13268575   23127703   72769128   25728600   17399693 | 152293699 
       185 |  13016146   22776828   74087965   26091172   16939432 | 152911543 
       186 |  13522722   22138330   73133883   25480663   18343757 | 152619355 
       187 |  13077049   21991990   72969030   26863049   17253144 | 152154262 
       188 |  13248363   23398908   72620045   26009339   16939191 | 152215846 
       189 |  13168230   23397167   74450108   25084529   17235361 | 153335395 
       190 |  13390164   23459008   71693311   24718562   17956581 | 151217626 
       191 |  13125277   28301334   69088458   20549895   19528206 | 150593170 
       192 |  13102670   22377821   68028164   22102090   20903512 | 146514257 
       193 |  12361780   21533549   69220771   23019706   19758541 | 145894347 
       194 |  11593558   22347786   67139815   22622371   18253887 | 141957417 
       195 |  12537304   20729288   64335704   24377290   16902647 | 138882233 
       196 |  12028110   19837620   67134836   24099464   15259368 | 138359398 
       197 |  12778842   19559595   69560785   23264636   15948122 | 141111980 
       198 |  11809341   20562753   70306038   22201369   16278913 | 141158414 
       199 |  12399224   21114139   78640330   20077222   14296544 | 146527459 
       200 |  12710624   19927406   80012081   19342315   16231448 | 148223874 
       201 |  11984342   18933603   83836569   17558753   15113623 | 147426890 
-----------+-------------------------------------------------------+----------
     Total |1068127747 2273418914 5455448028 1811873537 1521943473 | 1.213e+10 
