
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7612710773    2350531.74   .0002780604
    permanent |    .6052506996    2350531.74   .0003188199
    temporary |    .1560203778    2350531.74   .0002366866
     self_emp |    .0680802847    2350531.74   .0001642922
         erte |    .0011572148    2350531.74   .0000221755
   unemployed |    .0895716643    2350531.74   .0001862624
     inactive |    .0810769737    2350531.74    .000178035
        occ_0 |    .0021357976    2350531.74   .0000301115
        occ_1 |     .026550954    2350531.74   .0001048609
        occ_2 |    .2967884024    2350531.74   .0002979775
        occ_3 |    .1042423107    2350531.74   .0001993124
        occ_4 |    .1370205365    2350531.74   .0002242901
        occ_5 |    .2266380883    2350531.74   .0002730706
        occ_6 |    .0016954249    2350531.74   .0000268341
        occ_7 |    .0140307657    2350531.74   .0000767166
        occ_8 |    .0152676688    2350531.74   .0000799765
        occ_9 |    .0859989153    2350531.74   .0001828676
        act_0 |    .0083230146    2350531.74   .0000592574
        act_1 |    .0291036147    2350531.74    .000109642
        act_2 |    .0267175418    2350531.74   .0001051804
        act_3 |    .0259999765    2350531.74   .0001037966
        act_4 |     .019437253    2350531.74   .0000900476
        act_5 |    .2403939076    2350531.74   .0002787231
        act_6 |     .064323841    2350531.74   .0001600169
        act_7 |    .1492542704    2350531.74   .0002324236
        act_8 |    .2783316042    2350531.74   .0002923258
        act_9 |    .0684838402    2350531.74   .0001647427
       tenure |    58.02543381     1949416.7   .0375388788
----------------------------------------------------------
