
. tab ciclo ocup1 if state=="P"|state=="T" [fweight=facexp]

           |                               ocup1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       173 |   9086669   37122583  273963093  163281883  181937126  322540714 |1498878776 
       174 |   8852404   36712066  277581167  165118427  176930037  316962372 |1493514138 
       175 |   8288280   36065629  280644764  165370458  174991385  328949850 |1518779353 
       176 |   8757613   36704110  275851045  164892627  177496226  345129470 |1540460954 
       177 |   9214952   38412959  280793043  168394327  172866271  329410877 |1538540997 
       178 |   8812445   38451005  280537141  170367405  174125397  326997711 |1534078210 
       179 |   8297059   40383322  284733131  171699248  179843322  337035140 |1569025179 
       180 |   8779558   40715558  283777370  173231937  188130894  348189265 |1590665214 
       181 |   9780562   39348414  289045498  174276633  189689849  334955316 |1592255448 
       182 |  10477444   40797476  287881687  174343492  188980369  329360545 |1579224441 
       183 |  10829595   41429813  292543159  176222752  194537024  350069436 |1625729723 
       184 |  11271981   41149231  293855751  175539329  197920077  365630099 |1643358614 
       185 |  11445035   41197488  305872221  178585364  193198043  349072451 |1645359038 
       186 |  11572533   41198845  309135635  176530099  190225840  345354528 |1635774906 
       187 |  11418750   42744639  311770358  179553347  197113555  355581515 |1668828229 
       188 |  11005709   40925523  307363026  181172676  199553070  368753244 |1678997992 
       189 |  10914499   39624103  316883962  188725975  200719365  358223480 |1684613900 
       190 |  11231749   38368387  318149774  186826949  196852746  343753573 |1656012589 
       191 |  10752610   38760054  307367168  182187017  187878882  310860900 |1552684926 
       192 |  11777711   42625876  306569013  184192379  197784667  332609940 |1610804861 
       193 |  11904973   42447854  316210569  185864284  195632250  326890152 |1624152006 
       194 |  10458919   45784745  319205643  191366326  196787026  313289864 |1610425445 
       195 |  11192741   45675638  326998507  191270452  196082604  329955419 |1650740974 
       196 |  10624426   45764382  323023756  198127103  203793404  349106425 |1691655067 
       197 |  10662689   45655718  338930737  198211077  205493653  335086064 |1697424089 
       198 |  10672800   47345720  336466071  197462780  204799888  332603248 |1692849085 
       199 |  11654550   50243422  340921254  203616626  200437254  353025121 |1730392752 
       200 |  10840435   50800617  338694573  204475697  204558951  362973945 |1740320316 
       201 |  10084395   49070826  337052176  208586473  205391840  353003177 |1737150945 
-----------+------------------------------------------------------------------+----------
     Total | 709957782 2975749664  1.916e+10  1.330e+10  1.303e+10  2.260e+10 | 1.137e+11 


           |                    ocup1
     ciclo |         6          7          8          9 |     Total
-----------+--------------------------------------------+----------
       130 |  16420946  254383434  149500737  261178247 |1521132904 
       131 |  19148213  260173480  150919774  272016626 |1568973825 
       132 |  18338225  266678479  152346294  273618809 |1596930315 
       133 |  16704622  268655812  156847657  272254414 |1602523195 
       134 |  16666657  266278015  152673915  276331733 |1606850039 
       135 |  17529412  267256641  155321236  285070281 |1630017283 
       136 |  18079130  272790139  158731709  286556954 |1654870918 
       137 |  16767263  272338794  162895704  289464153 |1664493292 
       138 |  16759742  271360334  161817257  295203745 |1670127421 
       139 |  16405299  275020443  163674919  293881777 |1698140089 
       140 |  16665801  276754206  163214191  291925273 |1709463284 
       141 |  16103584  277460272  168142707  290454105 |1709496171 
       142 |  15583593  272536078  170715157  288509719 |1701006348 
       143 |  15155909  267107155  167466852  279051233 |1703753508 
       144 |  16293866  255282698  165746566  274533563 |1692009541 
       145 |  16249092  231643255  156881988  273671796 |1647723490 
       146 |  16230967  218664566  150617716  261279190 |1601304220 
       147 |  18011064  217031471  145353024  254288345 |1592314213 
       148 |  17334823  207109699  140192806  258538899 |1586375876 
       149 |  17523796  200352838  138855999  257671845 |1572458127 
