
. tab ciclo act1 [fweight=facexp] if sexo1==0&state=="T"&age3040&husband==1

           |                                     act1
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       135 |   1770785    4782532    1501421 |  50487300 
       136 |   2342178    4832400    1499550 |  49848745 
       137 |   2468947    4604862    1529814 |  51452783 
       138 |   2144529    4290989    1418669 |  48734098 
       139 |   2083169    4521279    1383811 |  47234450 
       140 |   2418749    3486612    1536101 |  46805464 
       141 |   2249354    4045125    1080348 |  46398209 
       142 |   1959833    4146443     849626 |  45800807 
       143 |   2199754    4153838     798570 |  45518176 
       144 |   2709916    4076799     748303 |  42605472 
       145 |   2611918    4185277    1022858 |  41667025 
       146 |   2399327    4767631    1213980 |  36434760 
       147 |   2824042    5651528    1333613 |  38933918 
       148 |   2654926    5617012    1278430 |  38981319 
       149 |   2478318    5296950    1094186 |  38231316 
       150 |   2463937    6196245    1554314 |  38077494 
       151 |   2698232    5200181    1396300 |  37225311 
       152 |   2196730    5319179    1588597 |  37464219 
       153 |   2390001    4739479    1471111 |  36309805 
       154 |   3031857    4583386    1120217 |  38215672 
       155 |   3648722    4936786    1443781 |  38593977 
       156 |   3224019    5616171    2076660 |  39088891 
       157 |   2678566    5860585    1924438 |  37766538 
       158 |   2864068    4660207    1509449 |  33672789 
       159 |   2850030    4669912    1693777 |  34315910 
       160 |   2971551    4385394    1646583 |  33462773 
       161 |   2995925    4460339    1396842 |  32214328 
       162 |   2513673    4316009     993223 |  30587366 
       163 |   2822188    4251931    1644618 |  32760885 
       164 |   2467798    4166605    1306753 |  32377234 
       165 |   2721238    4534002     960062 |  36031996 
       166 |   2716953    4613715    1074100 |  32728140 
       167 |   2663997    4917606     988083 |  33659185 
       168 |   2576296    4590466    1483803 |  34764416 
       169 |   2451562    4678860    1794011 |  34412917 
       170 |   2877835    4418921    1533891 |  33586941 
       171 |   2825732    4998042    1892860 |  37541475 
       172 |   2632247    5359346    1221201 |  37614568 
       173 |   2720169    5456373    1279609 |  35363505 
       174 |   2829523    5182400    1030925 |  34818392 
       175 |   3119319    4777957     689510 |  34317107 
       176 |   2778220    4525091     929354 |  33385118 
       177 |   2839945    4369717    1164286 |  33593246 
       178 |   2356536    4724617    1105086 |  33984538 
       179 |   2328447    4662549    1268368 |  33372141 
       180 |   2763092    4012208    1609511 |  33265328 
       181 |   2391252    4968791    1175936 |  31895312 
       182 |   1910984    4632986    1031913 |  30337356 
       183 |   1836695    5340572    1464833 |  31430076 
