
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6819714576    2191595.87   .0003145836
    permanent |    .4948834066    2191595.87    .000337728
    temporary |     .187088051    2191595.87   .0002634296
     self_emp |    .0768932093    2191595.87   .0001799657
         erte |    .0384859459    2191595.87   .0001299418
   unemployed |     .130587721    2191595.87   .0002276061
     inactive |     .110547612    2191595.87   .0002118146
        occ_0 |     .002223868    2191595.87   .0000318193
        occ_1 |    .0240980651    2191595.87   .0001035891
        occ_2 |     .290772103    2191595.87   .0003067532
        occ_3 |    .0949178053    2191595.87   .0001979875
        occ_4 |    .1465719179    2191595.87   .0002389069
        occ_5 |      .22943266    2191595.87   .0002840225
        occ_6 |    .0024587699    2191595.87   .0000334537
        occ_7 |    .0146240967    2191595.87   .0000810878
        occ_8 |    .0107808197    2191595.87   .0000697577
        occ_9 |    .0854078311    2191595.87   .0001887915
        act_0 |    .0134086902    2191595.87    .000077693
        act_1 |    .0373728392    2191595.87    .000128123
        act_2 |    .0302217717    2191595.87   .0001156421
        act_3 |     .016463779    2191595.87   .0000859567
        act_4 |    .0081091821    2191595.87   .0000605815
        act_5 |    .2335622352    2191595.87   .0002857983
        act_6 |    .0531637979    2191595.87   .0001515533
        act_7 |    .1636061944    2191595.87   .0002498763
        act_8 |    .2578403335    2191595.87   .0002954908
        act_9 |    .0875391137    2191595.87   .0001909097
       tenure |    60.52971776    1663124.67   .0414818261
----------------------------------------------------------
