
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure [pw=factorel] if 
> father_10==1&husband==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7063710916   101374688.8   .0000452326
    permanent |    .5446997416   101374688.8    .000049461
    temporary |      .16167135   101374688.8   .0000365644
     self_emp |    .1577176901   101374688.8   .0000361996
         erte |    .0024412476   101374688.8   4.90129e-06
   unemployed |    .1078398701   101374688.8   .0000308068
     inactive |    .0280713481   101374688.8   .0000164053
        occ_0 |    .0092812505   101374688.8   9.52387e-06
        occ_1 |    .0589098487   101374688.8   .0000233854
        occ_2 |    .1019067711   101374688.8   .0000300467
        occ_3 |    .1023552077   101374688.8   .0000301053
        occ_4 |    .0426081403   101374688.8   .0000200598
        occ_5 |    .1237847254   101374688.8   .0000327095
        occ_6 |      .02472621   101374688.8   .0000154233
        occ_7 |    .2474358015   101374688.8   .0000428586
        occ_8 |    .1366440684   101374688.8   .0000341134
        occ_9 |    .1037909639   101374688.8   .0000302914
        act_0 |     .052005003   101374688.8   .0000220527
        act_1 |    .0537057765   101374688.8   .0000223902
        act_2 |    .0833537154   101374688.8   .0000274536
        act_3 |    .0651165546   101374688.8   .0000245053
        act_4 |    .1775883579   101374688.8   .0000379566
        act_5 |    .1942525598   101374688.8   .0000392933
        act_6 |    .0981060801   101374688.8   .0000295434
        act_7 |    .0938075985   101374688.8   .0000289577
        act_8 |    .1053166668   101374688.8   .0000304873
        act_9 |    .0281906749   101374688.8   .0000164391
       tenure |    85.00016562   87596731.38   .0071899117
----------------------------------------------------------

. log close
