
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6964962658      15048593   .0001185205
    permanent |    .5198987002      15048593   .0001287887
    temporary |    .1765975656      15048593   .0000982993
     self_emp |    .1068234452      15048593   .0000796258
         erte |    .0000208764      15048593   1.17781e-06
   unemployed |    .0919054286      15048593   .0000744712
     inactive |    .1047748603      15048593    .000078949
        occ_0 |    .0081539111      15048593   .0000231823
        occ_1 |    .0268928677      15048593   .0000417014
        occ_2 |    .1817457738      15048593   .0000994096
        occ_3 |    .0948048359      15048593   .0000755159
        occ_4 |    .0884242128      15048593    .000073187
        occ_5 |    .1986266317      15048593   .0001028462
        occ_6 |    .0150532678      15048593   .0000313887
        occ_7 |    .1017152441      15048593   .0000779206
        occ_8 |     .062619502      15048593   .0000624547
        occ_9 |    .1166891875      15048593   .0000827607
        act_0 |    .0417862461      15048593   .0000515822
        act_1 |    .0387238827      15048593   .0000497354
        act_2 |    .0524049218      15048593   .0000574446
        act_3 |    .0389852081      15048593   .0000498961
        act_4 |    .0567911831      15048593   .0000596618
        act_5 |    .2360130173      15048593   .0001094619
        act_6 |    .0743129029      15048593   .0000676108
        act_7 |    .1142323591      15048593   .0000819986
        act_8 |    .1798260734      15048593   .0000989991
        act_9 |    .0616496399      15048593   .0000620012
       tenure |    77.98207979   12088831.38   .0185781633
----------------------------------------------------------
