
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  20042267    5340490   68460586   20937833    4853551 | 119634727 
       131 |  21155651    5591014   66712237   21178903    5211270 | 119849075 
       132 |  19225422    4795081   67676417   23255896    5286811 | 120239627 
       133 |  19768691    5760320   70905362   22644873    4303401 | 123382647 
       134 |  20382571    4887572   70358936   23127515    5096768 | 123853362 
       135 |  20562042    5038701   71650688   23453863    5487288 | 126192582 
       136 |  21389185    5710047   71174464   23684218    5655383 | 127613297 
       137 |  22629805    5456816   74332400   25086118    5187538 | 132692677 
       138 |  23048588    5297984   74560792   25718970    5881766 | 134508100 
       139 |  23982867    5692492   74485821   24600492    6418607 | 135180279 
       140 |  24598871    5897157   74882626   24216621    5436750 | 135032025 
       141 |  24386915    6599505   76752234   25028017    6270759 | 139037430 
       142 |  24769036    6213445   77762124   23710636    7532093 | 139987334 
       143 |  24095575    5067449   78463561   23835446    8411861 | 139873892 
       144 |  23898034    6679503   80368942   20941296    9618340 | 141506115 
       145 |  22861781    6135268   79808637   20245952   14346725 | 143398363 
       146 |  22578745    5262119   76947257   16900520   19601568 | 141290209 
       147 |  21934250    5976633   76999096   19026413   17780270 | 141716662 
       148 |  20989427    6571905   77215687   19364848   17853421 | 141995288 
       149 |  21093636    6029747   76625010   19413475   19821400 | 142983268 
       150 |  20906477    5976493   76365632   19282329   20541948 | 143072879 
       151 |  20619321    5997887   76003288   19090250   21039405 | 142750151 
       152 |  19666926    6053675   76659768   19482335   19802895 | 141665599 
       153 |  20084927    6418141   75948125   18457058   20561370 | 141469621 
       154 |  18839374    6056661   77542363   18153493   22925954 | 143517845 
       155 |  18035412    5887540   76817802   19323851   19472626 | 139537231 
       156 |  17082267    5968609   75658582   20082784   19983298 | 138775540 
       157 |  17221846    5793540   73494524   18181580   24066762 | 138758252 
       158 |  18299500    6535548   69676750   16071600   26169571 | 136752969 
       159 |  18604130    5045212   67636210   17689839   24100984 | 133076375 
       160 |  17961190    5559759   69330396   17047272   22025745 | 131924362 
       161 |  18009490    6838770   70691008   17014767   24006249 | 136560284 
       162 |  16890884    6521304   69313473   15809826   24855974 | 133391461 
       163 |  18546629    6322232   67706841   17818290   23224354 | 133618346 
       164 |  18828659    6906114   67427347   17334160   23988285 | 134484565 
       165 |  18490966    6361479   67586420   16824673   21800304 | 131063842 
       166 |  18154035    7114771   67766404   16063804   21950213 | 131049227 
       167 |  18450223    5583950   66640803   17446353   20812969 | 128934298 
       168 |  18822402    5676026   65644522   17702290   20338531 | 128183771 
       169 |  17820616    5049685   64039565   18320503   21407520 | 126637889 
       170 |  18553021    6298944   62773097   18673324   19337884 | 125636270 
       171 |  18595428    4619583   62811409   20725151   18628826 | 125380397 
       172 |  18068610    5185484   61901719   20820092   16186234 | 122162139 
       173 |  17974456    5213282   62754081   20143377   15421148 | 121506344 
       174 |  17385923    5584920   64026434   20308257   16362124 | 123667658 
       175 |  16624113    4992120   64535296   21474051   13520289 | 121145869 
       176 |  16976262    5439994   63907068   21213945   14047732 | 121585001 
       177 |  16696542    6459180   63869679   21352620   13189634 | 121567655 
       178 |  17998743    6467598   63132407   20831335   13004547 | 121434630 
       179 |  18899434    5515672   64442342   20077714   12718518 | 121653680 
       180 |  18465013    5937778   64224419   20267189   11029177 | 119923576 
       181 |  17209196    5884630   63909796   19856121   11757513 | 118617256 
       182 |  17076880    5575100   65603940   18507949   11312677 | 118076546 
       183 |  17830152    4946988   65581733   20741514   10032949 | 119133336 
       184 |  18179369    4915067   68343548   22277194    9362539 | 123077717 
       185 |  17066994    5673406   68067368   22097677    8926349 | 121831794 
       186 |  18648852    5648612   68653863   20080488    9660204 | 122692019 
       187 |  16538870    5240928   69711853   19752982    9026021 | 120270654 
       188 |  16490548    5758964   68459637   19275207    9403071 | 119387427 
       189 |  16624998    6779257   67842108   19914724    8228506 | 119389593 
       190 |  16852313    7165404   68929713   19532863    9575873 | 122056166 
       191 |  16803596    9270480   66212986   16386633   12414268 | 121087963 
       192 |  15799780    6154443   67114462   18073142   11165525 | 118307352 
       193 |  15788229    7106145   66682669   16781091   10537146 | 116895280 
       194 |  15001304    7412726   67226573   16181486   10655047 | 116477136 
       195 |  16766993    6319944   67081763   14827216    9326704 | 114322620 
       196 |  16209596    5091069   65977106   16631117    7934415 | 111843303 
       197 |  15801013    5961662   70100837   16817903    7758439 | 116439854 
       198 |  14441568    6009192   73657841   15899071    8093240 | 118100912 
       199 |  14663688    5933209   78344149   14502860    8275065 | 121718971 
       200 |  14472874    6204357   81522828   12084749    7329561 | 121614369 
       201 |  14041624    6435884   79482862   10150303    8108747 | 118219420 
-----------+-------------------------------------------------------+----------
     Total |1353274615  426872666 5064978286 1399828307  985460499 |9230414373 
