
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6082959702    5931009.75   .0002004344
    permanent |    .4442008951    5931009.75   .0002040255
    temporary |     .164095075    5931009.75   .0001520764
     self_emp |    .0742588292    5931009.75     .00010766
         erte |              0    5931009.75             0
   unemployed |    .1198968489    5931009.75   .0001333848
     inactive |    .1975483517    5931009.75   .0001634865
        occ_0 |    .0027317085    5931009.75   .0000214318
        occ_1 |    .0186748386    5931009.75   .0000555867
        occ_2 |    .1788225824    5931009.75   .0001573495
        occ_3 |    .0566510197    5931009.75   .0000949239
        occ_4 |      .11448618    5931009.75   .0001307404
        occ_5 |    .2417210408    5931009.75   .0001757954
        occ_6 |    .0049129307    5931009.75   .0000287102
        occ_7 |    .0158675679    5931009.75   .0000513118
        occ_8 |    .0215973309    5931009.75    .000059689
        occ_9 |    .1440043595    5931009.75   .0001441648
        act_0 |    .0286983039    5931009.75   .0000685553
        act_1 |    .0337004437    5931009.75   .0000740985
        act_2 |    .0223282014    5931009.75   .0000606679
        act_3 |    .0167253527    5931009.75   .0000526576
        act_4 |    .0103138576    5931009.75   .0000414854
        act_5 |    .2550754178    5931009.75   .0001789889
        act_6 |    .0297559939    5931009.75   .0000697692
        act_7 |    .1077698313    5931009.75   .0001273277
        act_8 |    .2175061472    5931009.75   .0001693994
        act_9 |    .0775960097    5931009.75    .000109854
       tenure |    83.55779126    4048239.17   .0323800407
----------------------------------------------------------
