
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     1,124      4,111      3,651      1,591        992 |    11,469 
       131 |     1,100      4,017      3,643      1,701        894 |    11,355 
       132 |     1,089      3,953      3,645      1,600        783 |    11,070 
       133 |     1,064      3,729      3,720      1,708        836 |    11,057 
       134 |     1,094      3,801      3,822      1,774        922 |    11,413 
       135 |     1,135      3,910      4,024      1,838        931 |    11,838 
       136 |     1,133      3,896      3,982      1,790        845 |    11,646 
       137 |     1,108      3,706      4,077      1,874        903 |    11,668 
       138 |     1,151      3,669      4,289      1,897        951 |    11,957 
       139 |     1,171      3,780      4,430      1,876        823 |    12,080 
       140 |     1,132      3,886      4,420      1,803        788 |    12,029 
       141 |     1,135      3,592      4,457      1,925        920 |    12,029 
       142 |     1,126      3,503      4,526      1,918        985 |    12,058 
       143 |     1,128      3,489      4,626      1,859      1,031 |    12,133 
       144 |     1,109      3,426      4,566      1,761      1,089 |    11,951 
       145 |     1,069      3,133      4,608      1,738      1,342 |    11,890 
       146 |       991      3,019      4,664      1,606      1,550 |    11,830 
       147 |     1,030      2,982      4,764      1,568      1,633 |    11,977 
       148 |     1,116      3,204      4,925      1,644      1,559 |    12,448 
       149 |     1,105      3,061      5,018      1,634      1,732 |    12,550 
       150 |     1,044      2,984      5,055      1,539      1,834 |    12,456 
       151 |     1,053      2,940      5,005      1,527      1,858 |    12,383 
       152 |     1,008      3,024      4,898      1,528      1,788 |    12,246 
       153 |     1,004      2,778      4,943      1,566      1,908 |    12,199 
       154 |     1,005      2,690      4,963      1,554      2,006 |    12,218 
       155 |       990      2,631      4,950      1,620      1,936 |    12,127 
       156 |       972      2,676      4,825      1,606      1,977 |    12,056 
       157 |       983      2,377      4,811      1,454      2,195 |    11,820 
       158 |     1,015      2,332      4,970      1,449      2,364 |    12,130 
       159 |       921      2,339      4,908      1,415      2,340 |    11,923 
       160 |       935      2,370      4,766      1,422      2,253 |    11,746 
       161 |       970      2,170      4,780      1,356      2,460 |    11,736 
       162 |       949      2,179      4,761      1,267      2,555 |    11,711 
       163 |       938      2,202      4,826      1,324      2,487 |    11,777 
       164 |       984      2,247      4,678      1,366      2,383 |    11,658 
       165 |       970      2,095      4,755      1,386      2,555 |    11,761 
       166 |       955      2,050      4,817      1,363      2,516 |    11,701 
       167 |       937      2,063      4,779      1,397      2,344 |    11,520 
       168 |       942      2,109      4,621      1,399      2,189 |    11,260 
       169 |       895      1,998      4,657      1,418      2,300 |    11,268 
       170 |       887      1,967      4,722      1,304      2,323 |    11,203 
       171 |       883      1,914      4,621      1,366      2,142 |    10,926 
       172 |       848      2,028      4,435      1,419      1,872 |    10,602 
       173 |       835      1,814      4,551      1,444      1,976 |    10,620 
       174 |       849      1,796      4,508      1,410      1,925 |    10,488 
       175 |       864      1,741      4,541      1,469      1,801 |    10,416 
       176 |       855      1,800      4,512      1,476      1,636 |    10,279 
       177 |       859      1,720      4,432      1,446      1,637 |    10,094 
       178 |       852      1,758      4,527      1,464      1,709 |    10,310 
       179 |       854      1,740      4,495      1,548      1,510 |    10,147 
       180 |       868      1,817      4,459      1,488      1,362 |     9,994 
       181 |       850      1,698      4,539      1,533      1,375 |     9,995 
       182 |       862      1,717      4,545      1,483      1,415 |    10,022 
       183 |       829      1,713      4,602      1,598      1,304 |    10,046 
       184 |       813      1,759      4,482      1,571      1,198 |     9,823 
       185 |       837      1,666      4,614      1,623      1,245 |     9,985 
       186 |       837      1,696      4,724      1,576      1,293 |    10,126 
       187 |       860      1,664      4,682      1,630      1,202 |    10,038 
       188 |       793      1,662      4,571      1,530      1,191 |     9,747 
       189 |       819      1,517      4,599      1,558      1,184 |     9,677 
       190 |       799      1,564      4,379      1,423      1,134 |     9,299 
       191 |       692      1,831      4,015      1,190        949 |     8,677 
       192 |       692      1,560      3,958      1,181      1,009 |     8,400 
       193 |       676      1,384      3,936      1,279      1,113 |     8,388 
       194 |       672      1,373      3,742      1,210      1,038 |     8,035 
       195 |       665      1,253      3,562      1,238        928 |     7,646 
       196 |       650      1,165      3,344      1,236        824 |     7,219 
       197 |       658      1,149      3,424      1,254        798 |     7,283 
       198 |       686      1,190      3,369      1,154        810 |     7,209 
       199 |       669      1,212      3,508      1,088        735 |     7,212 
       200 |       649      1,195      3,560        896        751 |     7,051 
       201 |       604      1,111      3,635        850        757 |     6,957 
-----------+-------------------------------------------------------+----------
     Total |    66,646    171,295    318,218    107,996    107,903 |   772,058 
