,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,341247,338004,341779,324286,332560,310610,323399,313960,313565,284232,376475,314829
2,199535,140987,187694,168712,209149,186895,178229,183944,183623,173250,231096,160562
4,109054,106430,128823,104290,138929,136517,131162,149041,155680,154422,195530,147883
6,114335,91853,99774,82867,87312,82952,58692,102136,88716,113246,130210,168437
8,81987,90684,80561,77614,67157,87100,62270,65131,70936,76220,44619,79255
10,78882,87225,76257,91748,74770,77020,43777,44596,66950,52693,60277,36842
12,29482,34885,30112,57529,38203,52192,44614,50320,37773,65377,41648,55394
14,9602,27337,14004,35111,13983,28082,15112,15334,11374,42290,5212,36892
16,8184,1752,5441,2622,7188,4878,3918,8782,1172,4153,3825,13066
18,561,2156,1894,2809,1322,4523,224,1986,882,2139,2461,3277
20,505,0,0,0,0,334,0,555,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
