,2020,2021,2022
2,-9653,10887,24039
4,21212,8784,-27685
6,5143,21009,27110
8,-7946,-77102,-101672
10,-6940,-25386,-8712
12,-1450,-25244,-34155
14,-42545,-18538,-55010
16,-5755,-18056,-376
18,9396,4267,-16545
20,-25012,-25376,6468
22,20040,20995,34149
24,-14585,-8268,-15646
26,-12537,1830,3078
28,4417,-995,-1306
30,-1097,-1447,251
