ten_y | Coefficient std t p_stat lower_95 upper_95q50            |
        ttrend |  -.0126669   .0046879    -2.70   0.007    -.0218554   -.0034784
               |
sexo1#c.ttrend |
            1  |  -.0008873   .0050445    -0.18   0.860    -.0107746    .0090001
               |
 sexo1#c.urate |
            0  |   .1013948   .0116678     8.69   0.000     .0785255    .1242642
            1  |   .1161283   .0069122    16.80   0.000     .1025802    .1296764
               |
         covid |
            1  |   .1964055   .3443981     0.57   0.568    -.4786273    .8714384
            2  |   .5309787   .3606916     1.47   0.141    -.1759899    1.237947
            3  |   1.144188   .5244245     2.18   0.029     .1162969    2.172079
               |
       1.sexo1 |  -.4836143   .1872097    -2.58   0.010    -.8505521   -.1166765
               |
   covid#sexo1 |
          1 1  |   .0518143   .3617677     0.14   0.886    -.6572635    .7608921
          2 1  |  -.3216727   .4708924    -0.68   0.495    -1.244639    .6012936
          3 1  |  -.0555061   .7176498    -0.08   0.938    -1.462126    1.351113
               |
         _cons |   1.465773   .1258933    11.64   0.000     1.219017    1.712528
